Country,Nitrogen,Phosphate,Potash,
Afghanistan, 1.04,0.00, 0.00,
Albania, 25.73,19.29, 0.44,
Algeria, 1.08,1.07, 0.62,
Angola, 0.33,0.16, 0.24,
Antigua and Barbuda, 1.78,1.22, 0.78,
Argentina, 5.17,4.17, 0.28,
Armenia, 11.65,0.30, 0.09,
Australia, 3.32,2.08, 0.54,
Austria, 27.26,7.29, 9.99,
Azerbaijan, 5.18,1.32, 0.60,
Bahrain, 17.44,17.44, 156.98,
Bangladesh, 83.01,51.91, 40.98,
Barbados, 76.79,1.07, 2.21,
Belarus, 61.29,23.83, 78.21,
Belgium, 141.64,16.79, 16.56,
Belize, 37.44,23.81, 22.98,
Benin, 1.68,1.13, 1.16,
Bhutan, 1.91,0.61, 0.41,
Bolivia (Plurinational State of), 0.63,0.39, 0.12,
Bosnia and Herzegovina, 34.19,4.07, 4.54,
Botswana, 0.85,0.01, 0.01,
Brazil, 14.18,16.77, 16.93,
Brunei Darussalam, 4.86,5.28, 5.35,
Bulgaria, 76.05,14.02, 4.89,
Burkina Faso, 3.55,1.87, 1.79,
Burundi, 2.04,1.59, 0.72,
Cambodia, 7.72,2.07, 0.37,
Cameroon, 2.00,0.57, 1.67,
Canada, 44.34,12.40, 5.36,
Chile, 22.07,8.32, 17.64,
China, 46.77,16.38, 12.41,
"China, Hong Kong Special Administrative Region", 430.00,22.94, 58.24,
Colombia, 12.69,6.40, 5.25,
Congo, 0.05,0.04, 0.03,
Cook Islands, 5.33,4.00, 4.00,
Costa Rica, 48.27,10.94, 30.15,
Côte d'Ivoire, 1.70,1.55, 1.84,
Croatia, 82.03,51.66, 24.40,
Cuba, 11.56,5.08, 7.96,
Cyprus, 72.01,45.17, 29.31,
Czech Republic, 78.40,9.49, 6.91,
Democratic Republic of the Congo, 0.20,0.09, 0.07,
Denmark, 68.48,12.73, 24.39,
Dominica, 8.20,8.88, 10.76,
Dominican Republic, 15.65,10.20, 1.43,
Ecuador, 20.69,5.13, 10.58,
Egypt, 373.91,76.98, 12.40,
El Salvador, 42.54,18.77, 12.15,
Eritrea, 0.07,0.00, 0.00,
Estonia, 34.84,7.42, 12.13,
Ethiopia, 4.71,3.31, 0.00,
Fiji, 8.62,0.35, 13.05,
Finland, 84.76,32.31, 48.82,
France, 69.67,9.01, 10.77,
French Polynesia, 3.69,2.51, 3.08,
Gabon, 0.15,0.07, 0.17,
Gambia, 0.09,0.14, 0.13,
Georgia, 13.19,2.77, 0.74,
Germany, 100.34,17.01, 27.38,
Ghana, 3.94,3.54, 3.24,
Greece, 30.54,13.63, 5.09,
Guatemala, 44.99,16.78, 7.09,
