CountryID,Country,Occurrence 1990-1999,Occurrence 2000-2009,Occurrence 2010-2019,Total deaths 1990-1999,Total deaths 2000-2009,Total deaths 2010-2019,Persons affected 1990-1999,Persons affected 2000-2009,Persons affected 2010-2019
4,Afghanistan,10,11,5,7426,1236,217,352293,107947,97970
8,Albania,1,1,3,0,0,51,2100,150,14007
12,Algeria,3,5,1,193,2279,6,30214,211095,420
16,American Samoa,...,1,...,...,34,...,...,2500,...
32,Argentina,1,2,2,0,0,0,63200,727,3000
51,Armenia,1,...,...,0,...,...,15000,...,...
36,Australia,1,...,...,0,...,...,5025,...,...
40,Austria,1,...,...,0,...,...,0,...,...
31,Azerbaijan,2,1,2,2,31,0,709178,3294,22499
50,Bangladesh,2,3,2,29,4,9,15400,3525,270
52,Barbados,...,1,...,...,0,...,...,1,...
56,Belgium,1,...,...,0,...,...,0,...,...
64,Bhutan,...,1,1,...,11,1,...,12,20016
68,Bolivia (Plurinational State of),2,...,1,100,...,0,18050,...,3000
76,Brazil,...,1,...,...,1,...,...,286,...
100,Bulgaria,1,1,1,1,0,0,0,527,210
108,Burundi,...,1,...,...,3,...,...,120,...
132,Cabo Verde,1,...,1,0,...,0,6306,...,2500
120,Cameroon,1,...,...,0,...,...,3010,...,...
152,Chile,4,4,8,17,23,590,118481,60800,3902619
156,China,34,48,53,762,88002,4265,11851924,54743850,8166393
170,Colombia,10,13,2,1612,42,0,1269540,53255,51251
174,Comoros,1,3,1,0,1,0,200,284000,10000
188,Costa Rica,8,3,2,51,41,2,25868,129033,19212
191,Croatia,1,...,...,0,...,...,2000,...,...
192,Cuba,1,...,...,0,...,...,5869,...,...
196,Cyprus,1,...,...,2,...,...,1865,...,...
180,Democratic Republic of the Congo,1,4,1,9,217,3,311,129260,390
212,Dominica,...,1,...,...,0,...,...,100,...
214,Dominican Republic,...,1,...,...,3,...,...,2015,...
218,Ecuador,6,7,8,37,65,676,64345,497683,1322335
818,Egypt,3,2,...,596,98,...,93018,947,...
222,El Salvador,...,5,3,...,1162,1,...,1609771,65738
231,Ethiopia,1,2,...,13,5,...,0,11000,...
242,Fiji,2,...,...,0,...,...,0,...,...
250,France,...,...,1,...,...,0,...,...,754
268,Georgia,2,2,...,9,6,...,3750,26462,...
276,Germany,1,1,...,1,0,...,1525,150,...
300,Greece,8,5,4,197,2,6,147781,4825,77876
312,Guadeloupe,...,1,...,...,1,...,...,153,...
316,Guam,1,...,...,0,...,...,71,...,...
