CountryID,Country,Occurrence 1990-1999,Occurrence 2000-2009,Occurrence 2010-2019,Total deaths 1990-1999,Total deaths 2000-2009,Total deaths 2010-2019,Persons affected 1990-1999,Persons affected 2000-2009,Persons affected 2010-2019
4,Afghanistan,3,7,5,234,1996,196,200,393340,9128
8,Albania,...,4,2,...,11,11,...,525150,230000
12,Algeria,...,4,2,...,67,8,...,15,250025
16,American Samoa,...,2,...,...,0,...,...,23060,...
660,Anguilla,1,...,1,0,...,4,150,...,15000
28,Antigua and Barbuda,5,   ,2,6,0,1,11684,25800,6400
32,Argentina,4,13,6,21,100,75,43000,12756,15242
51,Armenia,...,...,4,...,...,0,...,...,97600
36,Australia,30,27,15,74,359,172,8539068,44851,126377
40,Austria,8,10,5,3,359,21,0,300,330
31,Azerbaijan,...,...,1,...,...,5,...,...,0
44,Bahamas,4,8,6,5,14,404,1700,20500,31710
50,Bangladesh,52,49,28,143395,6923,810,23691965,13486040,9581797
52,Barbados,1,2,2,0,1,1,0,2880,2500
112,Belarus,1,3,4,5,5,49,21390,1820,93494
56,Belgium,10,8,14,24,2125,1137,1705,2,71
84,Belize,2,7,2,9,54,0,60000,112570,10355
204,Benin,...,1,...,...,0,...,...,800,...
60,Bermuda,...,1,...,...,4,...,...,0,...
64,Bhutan,1,1,...,17,12,...,65000,0,...
68,Bolivia (Plurinational State of),...,5,2,...,35,22,...,44022,17490
70,Bosnia and Herzegovina,1,3,2,0,5,6,1090,10000,10347
72,Botswana,...,1,...,...,0,...,...,400,...
76,Brazil,4,7,3,3,33,36,2676,157768,24901
92,British Virgin Islands,2,...,2,0,...,9,3,...,0
100,Bulgaria,3,7,4,3,39,37,6173,70,40
108,Burundi,1,3,2,0,0,21,30810,17005,1550
132,Cabo Verde,...,...,1,...,...,9,...,...,0
116,Cambodia,1,2,1,25,19,0,0,178091,6300
124,Canada,10,11,11,38,32,83,7504,1373,950
136,Cayman Islands,...,7,...,...,2,...,...,300,...
140,Central African Republic,...,3,6,...,6,2,...,15972,19274
148,Chad,...,1,...,...,14,...,...,145,...
152,Chile,5,6,5,6,53,6,50250,27512,52038
156,China,77,90,109,5780,3371,1640,102722968,357447810,74832013
344,"China, Hong Kong Special Administrative Region",11,6,4,34,6,1,2689,4090,15456
446,"China, Macao Special Administrative Region",4,...,2,0,...,10,3986,...,200
170,Colombia,1,2,2,2,5,11,0,10774,18
174,Comoros,...,1,3,...,0,8,...,300,354822
184,Cook Islands,2,2,1,20,0,0,900,1352,2202
188,Costa Rica,4,2,2,62,5,22,740762,56074,61500
191,Croatia,...,4,4,...,835,7,...,200,3500
192,Cuba,7,14,7,19,40,37,999162,9763452,10448752
