CountryID,Country,% Terrestrial areas protected
4,Afghanistan,0.1
8,Albania,17.7
12,Algeria,7.5
16,American Samoa,15.8
20,Andorra,26.7
24,Angola,7
28,Antigua and Barbuda,18.6
32,Argentina,8.8
51,Armenia,23.1
533,Aruba,18.9
36,Australia,19.3
40,Austria,28.4
31,Azerbaijan,10.2
44,Bahamas,36.6
48,Bahrain,6.6
50,Bangladesh,4.6
52,Barbados,1.3
112,Belarus,9.4
56,Belgium,23.3
84,Belize,37.7
204,Benin,29.6
60,Bermuda,2.1
64,Bhutan,48
68,Bolivia (Plurinational State of),30.9
70,Bosnia and Herzegovina,1.4
72,Botswana,29.1
76,Brazil,29.4
92,British Virgin Islands,9.1
96,Brunei Darussalam,46.9
100,Bulgaria,34.7
854,Burkina Faso,14.9
108,Burundi,7.6
132,Cabo Verde,2.9
116,Cambodia,26
120,Cameroon,10.6
124,Canada,9.7
136,Cayman Islands,10.8
140,Central African Republic,18.1
148,Chad,20.4
152,Chile,18.5
156,China,15.4
344,"China, Hong Kong Special Administrative Region",41.9
170,Colombia,14.8
174,Comoros,10.2
178,Congo,40.7
188,Costa Rica,27.6
384,Côte d’Ivoire,22.9
191,Croatia,38.3
192,Cuba,16.6
531,Curaçao,15.5
196,Cyprus,18.7
203,Czechia,22.2
408,Democratic People's Republic of Korea,2.4
180,Democratic Republic of the Congo,13.8
208,Denmark,18.1
262,Djibouti,1.6
212,Dominica,22
214,Dominican Republic,26.2
218,Ecuador,21.7
818,Egypt,13.1
222,El Salvador,8.8
226,Equatorial Guinea,19.3
232,Eritrea,4.9
233,Estonia,20.2
748,Eswatini,4.2
231,Ethiopia,18.5
234,Faeroe Islands,2.3
242,Fiji,5.4
246,Finland,15
250,France,25.8
258,French Polynesia,2
266,Gabon,22.4
270,Gambia,4.1
268,Georgia,8.3
276,Germany,37.8
288,Ghana,15.1
292,Gibraltar,32.4
300,Greece,35.2
304,Greenland,41.2
308,Grenada,9.8
316,Guam,22.5
320,Guatemala,20
324,Guinea,35.6
624,Guinea-Bissau,16.7
328,Guyana,8.7
332,Haiti,1.9
340,Honduras,23.9
348,Hungary,22.6
352,Iceland,18.2
356,India,6
360,Indonesia,12.2
364,Iran (Islamic Republic of),8.6
368,Iraq,1.5
372,Ireland,14.4
833,Isle of Man,3.7
376,Israel,19.9
380,Italy,21.5
388,Jamaica,15.9
392,Japan,29.4
400,Jordan,1.8
398,Kazakhstan,3.3
404,Kenya,12.4
296,Kiribati,22.4
414,Kuwait,17.5
417,Kyrgyzstan,6.7
418,Lao People's Democratic Republic,16.7
428,Latvia,18.2
422,Lebanon,2.6
426,Lesotho,0.3
430,Liberia,4.1
434,Libya,0.2
438,Liechtenstein,11.9
440,Lithuania,17
442,Luxembourg,40.9
450,Madagascar,5.6
454,Malawi,22.9
458,Malaysia,19.1
462,Maldives,1.2
466,Mali,8.2
470,Malta,30.3
584,Marshall Islands,11.9
478,Mauritania,0.6
480,Mauritius,4.7
484,Mexico,14.5
583,Micronesia (Federated States of),0
492,Monaco,33.2
496,Mongolia,17.7
499,Montenegro,6.4
504,Morocco,30.8
508,Mozambique,21.6
104,Myanmar,6.4
516,Namibia,37.9
524,Nepal,23.6
528,Netherlands,11.2
540,New Caledonia,54.4
554,New Zealand,32.5
558,Nicaragua,37.2
562,Niger,17.3
566,Nigeria,13.9
807,North Macedonia,9.7
580,Northern Mariana Islands,7.7
578,Norway,17.1
512,Oman,2.6
586,Pakistan,12.3
585,Palau,28
591,Panama,20.9
598,Papua New Guinea,3.1
600,Paraguay,14.3
604,Peru,21.3
608,Philippines,15.3
616,Poland,39.7
620,Portugal,22.9
630,Puerto Rico,7.3
634,Qatar,13.2
410,Republic of Korea,11.7
498,Republic of Moldova,4.2
642,Romania,24.5
643,Russian Federation,9.7
646,Rwanda,9.1
659,Saint Kitts and Nevis,3.3
662,Saint Lucia,18.7
663,Saint Martin (French Part),12.8
670,Saint Vincent and the Grenadines,22.4
882,Samoa,7.3
678,Sao Tome and Principe,29.3
682,Saudi Arabia,4.8
686,Senegal,25.4
688,Serbia,6.6
690,Seychelles,42.1
694,Sierra Leone,9.4
702,Singapore,5.6
534,Sint Maarten (Dutch part),0
703,Slovakia,37.6
705,Slovenia,53.6
90,Solomon Islands,2.2
710,South Africa,8
728,South Sudan,15.5
724,Spain,28.1
144,Sri Lanka,29.9
275,State of Palestine,8.4
729,Sudan,2.3
740,Suriname,14.5
752,Sweden,14.9
756,Switzerland,9.7
760,Syrian Arab Republic,0.7
762,Tajikistan,22.3
764,Thailand,18.8
626,Timor-Leste,13.1
768,Togo,27.6
776,Tonga,15.9
780,Trinidad and Tobago,30.6
788,Tunisia,7.9
792,Turkey,0.2
795,Turkmenistan,3.2
796,Turks and Caicos Islands,44.4
798,Tuvalu,2
800,Uganda,16.1
804,Ukraine,4
784,United Arab Emirates,18
826,United Kingdom of Great Britain and Northern Ireland,28.7
834,United Republic of Tanzania,38.1
840,United States of America,13
850,United States Virgin Islands,13.8
858,Uruguay,3.4
860,Uzbekistan,3.4
548,Vanuatu,4.2
862,Venezuela (Bolivarian Republic of),54.1
704,Viet Nam,7.6
887,Yemen,0.8
894,Zambia,37.9
716,Zimbabwe,27.2
