CountryID,Country,Year,Population Treatment Wastewater,Percent of Generated Hazard Waste Treated,Non-treated Wastewater
8,Albania,2005,0.800000012,,
8,Albania,2006,0.800000012,,
8,Albania,2007,5.599999905,,
8,Albania,2008,7.300000191,,
8,Albania,2009,7.300000191,,
8,Albania,2012,22.0,,
8,Albania,2014,21.0,,42.09999847
8,Albania,2015,19.0,,42.90000153
8,Albania,2016,16.0,,
8,Albania,2017,17.0,,
12,Algeria,2004,39.0,,
12,Algeria,2005,39.0,,
12,Algeria,2006,45.0,,
12,Algeria,2007,48.0,,
12,Algeria,2008,53.0,,
12,Algeria,2009,56.0,,
12,Algeria,2010,60.0,,
12,Algeria,2011,61.0,,
12,Algeria,2012,65.0,,
12,Algeria,2013,65.0,,1563.0
12,Algeria,2014,65.0,,1806.0
12,Algeria,2015,65.0,,2387.0
12,Algeria,2016,68.0,,3107.0
12,Algeria,2017,72.0,,2499.0
20,Andorra,2004,31.10000038,,35.17346191
20,Andorra,2005,47.70000076,,38.03936386
20,Andorra,2006,86.40000153,,13.65162468
20,Andorra,2007,98.0,,11.835042
20,Andorra,2008,98.0,,5.866518974
20,Andorra,2009,98.0,,0.00990137
20,Andorra,2010,98.0,,2.518495798
20,Andorra,2011,100.0,,0.0
20,Andorra,2012,100.0,,0.0
20,Andorra,2013,100.0,0.0,0.0
20,Andorra,2014,100.0,0.0,0.0
20,Andorra,2015,100.0,0.0,0.0
24,Angola,2011,17.79999924,,
31,Azerbaijan,2004,13.5,940.4006081,
31,Azerbaijan,2005,13.60000038,43.41828384,
31,Azerbaijan,2006,13.60000038,4854.029013,
31,Azerbaijan,2007,13.89999962,73.31677968,
31,Azerbaijan,2008,13.80000019,284.9728127,
31,Azerbaijan,2009,14.10000038,131.7198202,
31,Azerbaijan,2010,14.10000038,108.088037,
31,Azerbaijan,2011,14.10000038,74.47462246,
31,Azerbaijan,2012,14.39999962,69.09947249,
31,Azerbaijan,2013,18.39999962,75.1402293,736.0
31,Azerbaijan,2014,18.5,115.8732858,730.0
31,Azerbaijan,2015,18.89999962,145.8726027,584.0
31,Azerbaijan,2016,19.10000038,111.8820364,554.5999756
31,Azerbaijan,2017,19.5,81.52686393,516.4000244
32,Argentina,2010,50.20999908,,
40,Austria,2004,100.0,85.02950005,
40,Austria,2006,100.0,34.83130765,
40,Austria,2008,100.0,29.71622215,
40,Austria,2010,100.0,27.23143481,
40,Austria,2012,100.0,31.79133267,
40,Austria,2014,100.0,34.59405418,
40,Austria,2016,100.0,35.46841159,
48,Bahrain,2004,71.0,,0.0
48,Bahrain,2005,70.0,,0.0
48,Bahrain,2006,67.0,,0.0
48,Bahrain,2007,66.0,,0.0
48,Bahrain,2008,65.0,,0.0
48,Bahrain,2009,77.0,,0.0
48,Bahrain,2010,81.0,,0.0
48,Bahrain,2011,88.0,,0.0
48,Bahrain,2012,87.0,,23.20000076
48,Bahrain,2013,87.0,,23.60000038
48,Bahrain,2014,90.0,,2.700000048
48,Bahrain,2015,88.0,,4.199999809
48,Bahrain,2016,85.0,,4.599999905
48,Bahrain,2017,88.0,,0.0
50,Bangladesh,2015,2.930000067,,
51,Armenia,2004,33.18278122,100.0,379.0
51,Armenia,2005,35.19189835,100.0,279.0
51,Armenia,2006,35.85460281,100.0,411.0
51,Armenia,2007,36.47729111,100.0,249.0
51,Armenia,2008,36.47952652,100.0,241.0
51,Armenia,2009,37.96212387,100.0,243.0
51,Armenia,2010,38.19585037,100.0,519.0
51,Armenia,2011,38.55985641,100.0,677.0
51,Armenia,2012,37.76554871,100.0,841.0
51,Armenia,2013,37.09999847,100.0,178.0
51,Armenia,2014,37.09999847,100.0,292.0
51,Armenia,2015,38.0,100.0,362.0
51,Armenia,2016,38.09999847,100.0,308.7999878
51,Armenia,2017,38.29999924,100.0,174.1000061
56,Belgium,2004,73.0,63.69308357,
56,Belgium,2005,74.0,,
56,Belgium,2006,88.0,43.59247588,
56,Belgium,2007,97.0,,
56,Belgium,2008,96.0,37.16969984,
56,Belgium,2009,97.0,,
56,Belgium,2010,96.0,73.15809224,
56,Belgium,2011,97.0,,
56,Belgium,2012,92.0,61.15460427,
56,Belgium,2013,93.0,,
56,Belgium,2014,94.0,70.96940869,
56,Belgium,2015,95.0,,
56,Belgium,2016,95.0,64.24886923,
56,Belgium,2017,96.0,,
60,Bermuda,2005,1.5,,
60,Bermuda,2006,1.5,,
60,Bermuda,2007,1.5,,
60,Bermuda,2008,1.5,,
60,Bermuda,2009,1.5,,
60,Bermuda,2010,1.5,100.5154639,
60,Bermuda,2011,1.5,101.8644068,
60,Bermuda,2012,1.5,101.0526316,
60,Bermuda,2013,1.5,95.93639576,
60,Bermuda,2014,1.5,104.5918367,
60,Bermuda,2015,1.5,111.2385662,
60,Bermuda,2016,1.5,100.0,
60,Bermuda,2017,1.5,100.952381,
70,Bosnia and Herzegovina,2004,38.0,,
70,Bosnia and Herzegovina,2005,38.0,,
70,Bosnia and Herzegovina,2006,38.0,,
70,Bosnia and Herzegovina,2007,38.0,,281.3315125
70,Bosnia and Herzegovina,2008,34.0,,288.2739868
70,Bosnia and Herzegovina,2009,34.0,,357.071228
70,Bosnia and Herzegovina,2010,32.0,,355.0630188
70,Bosnia and Herzegovina,2011,32.0,,333.3013611
70,Bosnia and Herzegovina,2012,30.0,,331.8520508
70,Bosnia and Herzegovina,2013,30.0,,326.6191711
70,Bosnia and Herzegovina,2014,30.0,,300.1780701
70,Bosnia and Herzegovina,2015,30.0,,304.4356079
70,Bosnia and Herzegovina,2016,37.0,,
70,Bosnia and Herzegovina,2017,37.0,,
76,Brazil,2011,41.47000122,,
76,Brazil,2012,42.29000092,,
76,Brazil,2013,42.49000168,,
76,Brazil,2014,43.61000061,,
76,Brazil,2015,46.86999893,,
76,Brazil,2016,49.29999924,,
84,Belize,2010,10.56499958,,
96,Brunei Darussalam,2004,38.0,,
96,Brunei Darussalam,2011,40.0,,
100,Bulgaria,2004,72.0,101.6237023,
100,Bulgaria,2005,72.0,,
100,Bulgaria,2006,72.0,99.43184145,
100,Bulgaria,2007,73.0,,
100,Bulgaria,2008,74.0,99.95670368,
100,Bulgaria,2009,75.0,,
100,Bulgaria,2010,77.0,100.0566423,
100,Bulgaria,2011,82.0,,
100,Bulgaria,2012,82.0,99.87005336,
100,Bulgaria,2013,82.0,,
100,Bulgaria,2014,82.0,99.75642644,
100,Bulgaria,2015,87.0,,
100,Bulgaria,2016,87.0,98.86913222,
100,Bulgaria,2017,87.0,,
108,Burundi,2011,4.0,,
108,Burundi,2012,4.0,,
108,Burundi,2013,4.5,,
108,Burundi,2014,4.5,,
108,Burundi,2015,4.5,,
108,Burundi,2016,4.5,,
108,Burundi,2017,4.5,,
124,Canada,2004,87.22000122,,
124,Canada,2006,86.40000153,,
124,Canada,2009,84.30999756,,
132,Cabo Verde,2010,17.29999924,,
132,Cabo Verde,2012,19.5,,
132,Cabo Verde,2013,20.70000076,,
132,Cabo Verde,2014,19.79999924,,
132,Cabo Verde,2015,20.89999962,,
132,Cabo Verde,2016,24.46258354,,
132,Cabo Verde,2017,24.72448349,,
152,Chile,2004,71.59999847,,
152,Chile,2005,73.30000305,,
152,Chile,2006,82.0,,
152,Chile,2007,82.30000305,,
152,Chile,2008,82.59999847,,
152,Chile,2009,83.30000305,,
152,Chile,2010,86.93029785,,
152,Chile,2011,90.58789825,,
152,Chile,2012,100.0,,
152,Chile,2013,99.93000031,,
152,Chile,2014,99.93000031,,
152,Chile,2015,99.84999847,,
156,China,2004,32.54999924,68.14070352,
170,Colombia,2004,71.33999634,,
170,Colombia,2005,72.70999908,,
170,Colombia,2007,90.80000305,,
170,Colombia,2008,91.5,,
170,Colombia,2009,89.69999695,,
170,Colombia,2010,89.80000305,,
170,Colombia,2012,91.19999695,,
170,Colombia,2013,91.19999695,,
170,Colombia,2014,91.30000305,,
170,Colombia,2015,91.81765747,,
170,Colombia,2016,92.28900909,,
170,Colombia,2017,92.44712067,,
188,Costa Rica,2008,8.260000229,,357.7228699
188,Costa Rica,2009,8.260000229,,338.2623901
188,Costa Rica,2010,8.260000229,,306.7867432
188,Costa Rica,2011,8.260000229,,318.3864746
188,Costa Rica,2012,8.260000229,,317.1419983
188,Costa Rica,2013,8.260000229,,301.5273743
188,Costa Rica,2014,2.099999905,,311.240448
188,Costa Rica,2015,4.599999905,,193.9715576
188,Costa Rica,2016,7.650000095,,89.88999939
188,Costa Rica,2017,7.559999943,,
191,Croatia,2005,9.0,,
191,Croatia,2006,9.0,80.84166325,
191,Croatia,2007,22.0,,
191,Croatia,2011,98.0,,
191,Croatia,2012,98.0,60.45511823,
191,Croatia,2013,98.0,,
191,Croatia,2014,98.0,50.71829483,
191,Croatia,2015,98.0,,
191,Croatia,2016,98.0,43.534777,
191,Croatia,2017,98.0,,
192,Cuba,2004,10.80000019,,3643836.0
