CountryID,Country,Year,Freshwater,Fresh Groundwater,Fresh Surface Water,Renewable Freshwater Resources,Renewable Freshwater Per Capita,Population Supplied by Water Industry,Precipitation,Evapotranspiration
8,Albania,2014,1123.0,235.0,888.0,37401.0,12913,80.0,37172.0,16727.0
8,Albania,2015,1194.0,262.0,932.0,34090.0,11794.0,81.0,32711.0,13412.0
8,Albania,2017,1188.0,107.0,1081.0,33253.0,11529.0,78.0,32224.0,13856.0
12,Algeria,2004,6300.0,2800.0,3500.0,11276.0,343.0,88.0,241837.2031,
12,Algeria,2005,6450.0,2800.0,3650.0,11276.0,339,90.0,308914.0,
12,Algeria,2006,6500.0,2800.0,3700.0,12707.0,376,90.0,332134.3125,
12,Algeria,2007,6850.0,3000.0,3850.0,12707.0,370,95.0,282453.4063,
12,Algeria,2008,6950.0,4150.0,2800.0,12707.0,365,95.0,544728.625,
12,Algeria,2009,7150.0,4200.0,2950.0,12707.0,358,96.0,313696.5,
12,Algeria,2010,7203.0,2603.0,4600.0,12707.0,352,96.0,373310.0938,
12,Algeria,2011,7515.0,2915.0,4600.0,12707.0,345,96.5,291255.5,
12,Algeria,2012,7800.0,3000.0,4800.0,12707.0,338,98.0,285533.0938,
12,Algeria,2013,4642.759766,3046.909912,1595.849976,,,98.0,276258.9063,
12,Algeria,2014,4819.819824,3117.449951,1702.369995,,,98.0,237403.0,
12,Algeria,2015,5512.660156,3654.939941,1857.719971,,,98.0,238029.5,
12,Algeria,2016,7800.0,3900.0,3900.0,,,,181922.0938,
12,Algeria,2017,7730.0,3860.0,3870.0,,,,330957.4063,
20,Andorra,2007,16.60948753,,,139.2003632,1684,100.0,306.4562378,180.0543213
20,Andorra,2008,16.39779282,,,325.5460205,3882,100.0,466.674469,171.0600281
20,Andorra,2009,15.4166193,,,293.7810364,3478,100.0,464.0131226,197.2431183
20,Andorra,2010,15.82946682,,,286.3535767,3391,100.0,423.6300049,163.604538
20,Andorra,2011,16.04419327,,,178.8306274,2135,100.0,355.0338745,192.645401
20,Andorra,2012,16.58762169,,,218.6154022,2652,100.0,352.9525146,154.4371796
20,Andorra,2013,17.15185165,,,345.1228333,4273,100.0,482.6208496,169.2293854
