CountryID,Country and area,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
4,Afghanistan,29,36,42,50,76,112,136,184,163,139,129,135,121,123
8,Albania,85,91,88,82,90,92,91,96,88,105,107,91,91,100
12,Algeria,1249,1583,1429,1516,1533,1675,1641,1715,1890,1959,2123,2224,2203,2289
20,Andorra,10,10,10,10,10,10,10,9,9,9,9,9,9,9
24,Angola,324,318,366,389,409,446,469,487,538,537,688,552,571,618
660,Anguilla,2,2,2,2,2,2,2,2,2,2,2,2,2,2
28,Antigua and Barbuda,5,5,6,6,6,6,6,6,7,7,7,7,7,7
32,Argentina,2849,2919,3117,3094,3268,3178,3307,3356,3389,3335,3368,3435,3439,3385
51,Armenia,90,105,107,120,137,121,119,135,145,138,142,127,129,137
533,Aruba,57,58,58,60,58,57,56,56,24,12,12,13,13,13
36,Australia,4735,4790,5029,5169,5384,5424,5441,5500,5441,5390,5312,5331,5397,5353
40,Austria,1370,1407,1410,1381,1391,1323,1409,1366,1354,1390,1345,1366,1375,1404
31,Azerbaijan,547,573,585,510,562,504,486,527,559,571,587,605,599,602
44,Bahamas,28,26,26,26,34,24,35,26,28,41,34,29,26,29
48,Bahrain,312,348,347,476,524,503,513,506,490,551,559,580,557,580
50,Bangladesh,1157,1191,1267,1284,1333,1398,1493,1533,1601,1624,1695,1790,1864,1925
52,Barbados,17,17,18,18,21,22,20,20,20,19,17,17,17,16
112,Belarus,1123,1121,1194,1170,1172,1111,1152,1225,1285,1149,1171,1067,1060,1081
56,Belgium,2432,2421,2389,2342,2414,2316,2496,2334,2229,2318,2190,2185,2311,2301
84,Belize,11,11,12,12,11,12,13,13,11,12,13,16,15,16
204,Benin,104,105,123,134,137,144,153,156,157,167,177,194,193,213
60,Bermuda,8,8,9,11,9,7,9,7,6,8,10,8,9,9
64,Bhutan,47,48,49,51,52,54,57,57,61,61,64,64,66,67
68,Bolivia (Plur. State of),198,216,271,220,234,240,261,283,316,322,341,345,363,371
70,Bosnia and Herzegovina,198,206,219,221,249,256,269,294,278,266,252,250,282,278
72,Botswana,62,65,66,69,74,65,74,71,84,89,98,80,92,99
76,Brazil,8968,9252,9536,10131,10234,9907,10992,11254,11720,12243,12672,12786,12677,12900
92,British Virgin Islands,2,3,3,3,3,3,3,3,3,3,3,3,3,2
96,Brunei Darussalam,75,76,74,135,149,128,136,162,160,127,149,114,124,153
100,Bulgaria,786,826,849,839,832,728,741,804,767,703,744,775,757,781
854,Burkina Faso,91,114,122,130,137,140,145,148,156,162,165,172,176,185
108,Burundi,56,56,56,57,57,56,58,59,59,62,62,62,63,63
132,Cabo Verde,6,8,8,9,8,9,9,10,9,9,9,9,9,10
116,Cambodia,142,144,143,146,146,213,223,232,243,251,267,295,318,339
120,Cameroon,294,295,281,265,268,289,291,295,298,286,318,381,391,388
124,Canada,11313,11420,11608,11578,11383,10915,10869,11107,11228,11402,11713,11757,11758,12088
136,Cayman Islands,7,7,7,8,8,8,8,8,8,8,8,8,8,8
140,Central African Rep.,22,22,22,22,22,22,23,23,23,23,23,23,23,23
148,Chad,70,71,72,74,76,78,80,82,75,77,82,79,84,85
152,Chile,1153,1187,1235,1288,1269,1235,1286,1410,1558,1620,1467,1510,1582,1603
156,China,61748,68833,75663,81439,87613,92023,101618,111512,115726,118411,119688,119926,119882,123598
344,"China, Hong Kong SAR",559,579,557,572,565,549,544,568,567,579,593,576,590,587
446,"China, Macao SAR",27,29,29,28,28,38,32,34,34,33,38,45,46,48
170,Colombia,1120,1180,1239,1193,1326,1392,1402,1416,1465,1579,1627,1524,1770,1677
174,Comoros,4,4,4,4,4,4,5,4,5,5,5,5,6,6
178,Congo,44,45,48,51,56,64,70,93,107,113,112,119,124,124
184,Cook Islands,1,1,1,1,1,1,1,1,1,1,1,1,1,1
188,Costa Rica,175,177,190,206,205,202,203,196,201,210,213,207,213,212
384,Côte d'Ivoire,406,418,418,426,428,392,425,487,528,566,580,543,457,458
191,Croatia,400,407,405,421,410,395,390,381,359,352,335,350,353,364
192,Cuba,417,412,408,398,430,438,505,449,452,428,431,457,434,404
531,Curaçao,...,...,...,...,...,...,...,...,87,76,84,92,80,76
196,Cyprus,92,94,97,103,109,107,103,100,94,81,83,85,91,94
203,Czechia,1913,1898,1938,1931,1894,1793,1892,1820,1807,1807,1759,1758,1742,1818
180,Dem. Rep. of the Congo,672,698,724,750,778,801,831,882,1090,1145,1202,1209,1240,1246
208,Denmark,813,791,849,828,807,769,815,754,723,717,674,674,694,720
262,Djibouti,9,9,9,10,10,10,11,10,10,11,9,9,10,9
212,Dominica,2,2,2,3,2,2,3,2,3,3,3,3,3,2
214,Dominican Republic,256,259,269,290,292,287,298,303,311,303,299,325,349,344
218,Ecuador,457,470,453,507,449,491,521,551,547,573,630,603,597,615
818,Egypt,2489,2742,2898,3063,3197,3257,3242,3504,3389,3404,3493,3450,3756,4012
222,El Salvador,154,159,169,177,179,176,178,180,176,167,170,179,177,175
226,Equatorial Guinea,52,68,78,52,85,74,82,88,87,83,76,64,53,49
232,Eritrea,31,32,29,30,28,30,31,32,33,33,34,35,36,37
233,Estonia,225,220,215,241,232,206,238,238,233,258,245,232,242,243
748,Eswatini,39,40,46,46,47,47,43,43,46,53,48,48,44,44
231,Ethiopia,1117,1132,1196,1224,1249,1270,1293,1326,1351,1392,1441,1462,1504,1534
234,Faeroe Islands,11,10,10,10,9,8,9,8,9,10,9,9,9,10
238,Falkland Is. (Malvinas),1,1,1,1,1,1,1,1,1,1,1,1,1,1
242,Fiji,28,24,26,24,19,17,21,21,20,25,30,37,33,34
246,Finland,1559,1440,1563,1540,1486,1396,1530,1471,1422,1398,1421,1350,1408,1385
251,France,11286,11333,11151,11043,11093,10621,10958,10687,10694,10738,10320,10472,10294,10278
255,French Guiana,10,10,9,10,10,12,12,...,...,...,...,...,...,...
258,French Polynesia,11,12,12,12,12,12,12,12,11,11,11,12,11,11
266,Gabon,69,72,75,78,80,83,93,99,102,108,112,112,113,109
270,Gambia,10,10,11,11,12,12,12,13,13,13,14,14,14,14
268,Georgia,122,135,137,142,128,134,140,157,164,174,188,198,203,204
276,Germany,14191,14102,14460,13747,13876,12986,13666,12957,13010,13302,12805,12904,12971,12999
288,Ghana,264,251,273,264,258,237,267,271,304,306,321,339,340,315
292,Gibraltar,6,6,7,7,7,7,7,7,7,8,8,9,10,11
300,Greece,1247,1265,1267,1267,1276,1232,1155,1117,1108,969,962,965,933,966
304,Greenland,9,9,10,10,10,9,11,11,9,9,9,9,9,9
308,Grenada,3,3,4,4,4,4,4,4,4,5,4,4,4,4
313,Guadeloupe,32,33,32,35,34,32,32,...,...,...,...,...,...,...
320,Guatemala,343,361,339,354,344,392,388,416,405,414,444,453,531,530
831,Guernsey,1,1,1,1,1,1,1,1,1,0,1,1,1,1
324,Guinea,134,135,136,138,139,141,147,149,148,144,146,150,154,156
624,Guinea-Bissau,25,26,26,27,27,27,28,28,29,29,30,30,31,31
328,Guyana,38,32,30,34,33,35,34,37,36,34,34,35,37,37
332,Haiti,138,142,147,154,156,158,159,164,170,171,174,183,185,188
340,Honduras,167,172,169,198,197,192,193,211,224,224,226,247,242,252
348,Hungary,1090,1153,1143,1118,1107,1038,1109,1087,1037,1002,996,1053,1072,1115
352,Iceland,152,158,196,235,265,282,278,285,306,309,311,313,331,327
356,India,21964,22706,23355,25153,26617,28673,29193,30933,32764,32940,34862,36066,36802,38083
360,Indonesia,7039,7087,7168,7550,8060,8524,8331,9378,9549,8284,8554,9511,10244,9959
364,Iran (Islamic Rep. of),6684,7221,7807,7996,8246,8489,8579,8750,9055,9201,9986,9989,10278,10987
368,Iraq,1390,1488,1262,750,1208,1343,1437,1708,1904,2051,2055,1997,2309,2521
372,Ireland,614,618,620,632,627,609,610,552,551,548,536,557,586,574
833,Isle of Man,2,1,4,4,4,4,4,4,4,4,4,4,5,4
376,Israel,805,773,851,872,959,902,972,970,983,934,907,951,962,965
382,Italy,7697,7847,7776,7772,7667,7149,7324,7086,6804,6530,6168,6402,6334,6437
388,Jamaica,156,152,170,160,152,117,110,118,112,120,108,113,116,111
392,Japan,22010,21932,21920,21698,20929,19975,20997,19438,18995,19035,18445,18073,17824,18116
832,Jersey,2,3,3,2,3,3,3,3,3,3,3,3,3,3
400,Jordan,267,289,298,312,305,322,303,309,332,328,352,361,361,384
398,Kazakhstan,2253,2352,2545,2994,3131,2879,3363,3508,3249,3340,2999,3006,3188,3335
404,Kenya,664,686,712,729,767,811,793,823,841,868,909,953,938,932
296,Kiribati,1,1,1,1,1,1,1,1,1,1,1,1,1,1
408,"Korea, Dem.Ppl's.Rep.",860,896,904,769,847,656,622,469,486,371,406,332,374,307
410,"Korea, Republic of",8774,8822,8971,9337,9539,9615,10498,10933,11052,11065,11225,11428,11829,11821
412,Kosovo,84,82,83,86,93,102,105,106,99,99,93,106,113,108
414,Kuwait,1010,1133,1117,1140,1242,1300,1350,1331,1566,1418,1346,1452,1532,1584
417,Kyrgyzstan,115,114,115,124,132,121,115,139,174,167,171,167,162,162
418,Lao People's Dem. Rep.,66,68,76,82,91,97,100,102,104,114,120,169,209,237
428,Latvia,186,190,198,201,193,185,189,179,185,183,182,179,179,185
422,Lebanon,216,206,191,172,223,272,262,260,292,288,307,337,348,369
426,Lesotho,46,47,48,49,50,52,52,51,51,50,49,47,46,48
430,Liberia,58,62,64,65,67,68,75,78,82,83,89,92,97,97
434,Libya,755,727,723,678,735,798,860,569,716,797,739,630,562,555
438,Liechtenstein,3,3,3,3,3,3,3,3,3,3,3,3,3,3
440,Lithuania,387,365,358,394,395,363,292,303,306,289,290,293,299,313
442,Luxembourg,181,185,183,178,178,168,179,177,173,168,162,158,156,160
450,Madagascar,165,168,171,178,187,191,201,211,223,235,241,254,307,322
454,Malawi,70,70,70,72,76,76,76,78,79,80,79,80,82,84
458,Malaysia,2717,2745,2737,2845,2961,2826,2965,3068,3146,3417,3535,3424,3527,3482
462,Maldives,10,9,11,11,12,13,13,14,16,16,19,19,21,22
466,Mali,60,61,64,67,71,76,79,82,85,86,91,94,95,96
470,Malta,35,37,35,37,35,34,35,35,37,33,33,27,25,29
584,Marshall Islands,2,2,2,2,2,2,2,2,2,2,2,2,2,2
475,Martinique,28,30,30,28,27,30,29,...,...,...,...,...,...,...
478,Mauritania,34,36,36,39,41,44,45,47,51,48,54,60,59,73
480,Mauritius,55,57,60,60,61,60,63,62,62,64,65,67,67,69
176,Mayotte,3,3,3,3,4,4,4,...,...,...,...,...,...,...
484,Mexico,7167,7559,7683,7651,7782,7608,7557,7907,8100,8118,7961,7830,7826,7622
583,Micronesia (Fed. States of),2,2,2,2,2,2,2,2,2,2,2,2,2,2
496,Mongolia,99,104,113,143,143,156,164,249,400,498,342,272,294,395
499,Montenegro,...,42,47,46,50,40,48,47,45,41,40,42,41,43
500,Montserrat,1,1,1,1,1,1,1,1,1,1,1,1,0,0
504,Morocco,573,606,634,669,700,707,762,755,768,770,780,799,831,869
508,Mozambique,356,364,374,301,308,227,305,358,394,438,462,444,437,452
104,Myanmar,625,618,642,647,598,621,662,700,649,677,731,848,872,854
516,Namibia,47,54,54,56,66,64,65,61,66,59,75,78,82,82
520,Nauru,1,1,1,1,1,1,1,1,1,1,1,1,1,1
524,Nepal,376,388,392,412,416,431,446,388,430,483,542,499,544,571
528,Netherlands,3375,3316,3284,3273,3248,3207,3443,3201,3203,3130,2950,2989,3052,3085
540,New Caledonia,33,37,36,40,39,40,46,47,48,52,64,61,67,68
554,New Zealand,759,748,752,764,781,796,839,839,875,874,933,952,950,955
558,Nicaragua,120,119,120,122,123,124,125,129,138,147,152,163,167,167
562,Niger,84,77,71,66,61,65,70,73,83,87,91,94,97,85
566,Nigeria,4161,4401,4432,4597,4732,4651,5325,5806,5865,5976,6124,6065,6255,6568
570,Niue,0,0,0,0,0,0,0,0,0,0,0,0,0,0
807,North Macedonia,162,163,159,125,125,117,121,136,132,122,119,116,116,119
579,Norway,1100,1114,1129,1145,1338,1309,1257,1123,1180,1218,1199,1202,1135,1235
512,Oman,389,445,575,652,700,657,778,916,985,1018,1014,1048,1020,1102
586,Pakistan,2585,2642,2755,2921,2894,2885,2880,2936,2932,2991,3279,3445,3784,4280
585,Palau,3,3,3,4,3,3,3,3,3,3,3,3,3,3
591,Panama,109,120,131,128,118,133,144,153,150,172,166,171,169,197
598,Papua New Guinea,123,126,128,160,143,147,141,149,145,151,162,166,170,168
600,Paraguay,181,178,169,168,218,218,231,233,233,232,241,255,271,288
604,Peru,530,565,548,633,629,722,808,804,853,787,890,890,953,960
608,Philippines,1499,1469,1415,1452,1552,1573,1631,1650,1717,1779,1871,2050,2183,2321
616,Poland,3893,3891,4117,4085,4137,3973,4256,4267,4116,4128,3972,4004,4190,4384
620,Portugal,1082,1109,1053,1061,1033,1020,983,956,897,898,885,920,913,951
630,Puerto Rico,24,24,25,26,29,27,27,26,48,56,56,53,61,50
634,Qatar,718,728,913,921,947,1008,1165,1331,1566,1375,1822,1828,1762,1798
498,Republic of Moldova,84,89,89,85,86,71,80,84,91,103,102,100,104,114
639,Reunion,45,49,51,53,54,57,58,...,...,...,...,...,...,...
642,Romania,1626,1626,1687,1674,1657,1464,1474,1508,1469,1342,1326,1341,1336,1401
643,Russian Federation,27149,27338,28177,28236,28912,27142,28932,30305,30605,29940,30424,29843,29516,31182
646,Rwanda,54,71,73,75,78,81,84,88,91,94,96,98,99,99
882,Samoa,3,3,4,4,4,4,4,4,4,4,4,5,5,5
678,Sao Tome and Principe,2,2,2,2,2,2,2,2,3,3,3,3,3,3
682,Saudi Arabia,5971,6047,6576,5828,6503,6922,7707,7399,8323,7985,8876,9728,8635,8946
686,Senegal,111,114,99,108,110,134,165,172,168,155,169,187,175,168
688,Serbia,...,672,713,696,705,633,648,673,605,618,550,612,633,647
690,Seychelles,10,10,10,9,10,7,6,4,6,5,7,7,8,8
694,Sierra Leone,58,56,59,58,58,59,60,63,65,67,69,67,68,68
702,Singapore,1005,899,997,1042,1055,1489,1079,749,996,1116,1126,1236,971,1166
534,Sint Maarten (Dutch part),...,...,...,...,...,...,...,...,11,11,11,12,12,12
703,Slovakia,758,776,768,735,755,690,736,715,687,698,657,675,686,717
705,Slovenia,299,306,307,307,327,299,306,307,296,287,279,275,278,289
