CountryID,Country,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
8,Albania,...,...,...,...,...,...,...,...,...,13164,16727,13412,16964,13856
20,Andorra,176.4890594,173.422287,196.2562256,180.0543213,171.0600281,197.2431183,163.604538,192.645401,154.4371796,169.2293854,221.3279724,223.6974792,...,...
51,Armenia,10531,11320,11081,11367,9840,10674,12549,11066,10816,10773,11432,12827,12928,10382
31,Azerbaijan,34287.30078,25427.90039,28831.90039,31082,28108,32163,32642,40163,28747,29580,23891,32942,33175,25473
50,Bangladesh,73365,82125,77015,71540,69715,81030,74095,70445,68255,68255,64970,74095,...,...
112,Belarus,87763,74835,80553,87078,76584,91697,...,...,...,...,...,...,...,...
56,Belgium,17176,18033,16823,17303,...,...,...,...,17577,14755,17579,14187,15804,14181
84,Belize,36883,36045,...,...,...,...,...,...,...,...,...,...,...,...
204,Benin,2915.300049,2533.899902,2528.199951,1659.400024,1600.800049,2125.100098,3670.100098,2531.300049,3909.100098,3934.399902,4859.899902,4349.399902,3376.100098,4224
60,Bermuda,...,...,57.05095673,53.0710907,52.39526749,52.55483627,43.44996262,38.08000183,46.24679947,57.92919922,64.04920197,53.28480148,67.19080353,49.36800003
70,Bosnia and Herzegovina,22004,22773,17967,19464,17888,21761,26930,22587,25399,26000,26883,24974,25617,25247
76,Brazil,11762859,11823228,11779750,11963445,11769852,11617902,11948611,11628461,12064854,11754489,11799024,11760121,11719974,11719974
100,Bulgaria,...,...,...,...,...,...,...,...,58179,54681,90476,52052,56314,70207
344,"China, Hong Kong Special Administrative Region",1319.099976,1176.400024,1210.5,1535.599976,1422.699951,1506.300049,1333.099976,1349.099976,1301,1032.199951,1114.300049,1038.699951,...,...
188,Costa Rica,50786.51953,48524.07031,45114.94141,51622.73047,52729.17969,46182.98828,58963.05078,47794.46875,41555.19922,41638.07031,48685.25,46365.71094,45513.67188,47608.69141
191,Croatia,42136,42670,44034,44046,...,...,...,39600,39600,38990,54586,39770,45751,41879
192,Cuba,77410,95635,91159,99316,93871,81639,89461,89445,94395,90566,89448,85505,87921,96617
196,Cyprus,2904,2073,2094,2490,1483,3370,2313,3013,4263,1593,2122,2614,2322,1760
203,Czechia,41473,42872,37617,46194,38689,47826,43988,35500,42239,38296,43297,32021,38700,39230
208,Denmark,...,...,...,...,...,...,...,...,...,...,...,...,...,...
