CountryID,Country,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
8,Albania,...,...,...,...,...,...,...,...,...,...,235,262,...,107
12,Algeria,2800,2800,2800,3000,4150,4200,2603,2915,3000,3046.909912,3117.449951,3654.939941,3900,3860
28,Antigua and Barbuda,1.090000033,1.25999999,1.230000019,2.099999905,1.399999976,1.600000024,1.600000024,1.200000048,1.200000048,0.720000029,0.680000007,0.74000001,...,...
51,Armenia,722,803,843,858,852,854.4000244,875.7999878,1002.799988,1314.400024,1348.699951,1312,1304.400024,1136.300049,1154.5
31,Azerbaijan,707,798,1073,1112,1127,1262,1272,1506,1696,1738,1819,2016,2075,2066
48,Bahrain,231.6000061,208.5,216.5,199.8999939,182.8999939,169.1000061,181.8000031,186.6000061,178.6000061,182.1999969,179.1000061,159.1000061,...,...
50,Bangladesh,11.89999962,12,12.5,14.19999981,16.20000076,51.22999954,55.24000168,55.97000122,58.36000061,60.68999863,61.68999863,754.1500244,...,...
52,Barbados,...,...,...,...,...,...,...,...,...,...,...,...,...,...
112,Belarus,1038,1034,1009,961,919,858,877,891,898,874,867,845,...,...
56,Belgium,658,636,645,648,612,612,612,602,636,639,632,632,...,...
84,Belize,1.610000014,1.653407693,1.685099959,1.827999949,1.867300034,1.852800012,1.918200016,1.936499953,1.989400029,...,...,...,...,...
60,Bermuda,...,2.579999924,2.599999905,2.349999905,2.099999905,1.850000024,1.789999962,1.809999943,1.659999967,1.549999952,1.389999986,1.419999957,1.320000052,...
68,Bolivia (Plurinational State of),...,...,...,...,...,...,...,133.7156525,144.8075714,162.2667999,165.3218994,172.6494598,178.2755585,...
70,Bosnia and Herzegovina,320.8211975,323.0127869,325.2043457,327.3959045,329.5874939,331.7790527,328.559906,302.1762085,304.484314,306.7556152,300.0090637,310.6203003,...,...
72,Botswana,104.0999985,103,102.5,97.59999847,99.80000305,97.5,99.30000305,99.30000305,103.4000015,96,99.59999847,108.8000031,112.3000031,...
76,Brazil,...,...,...,...,...,...,...,7103.615723,7233.001953,7298.993164,7195.035156,7027.419922,7005.677734,...
100,Bulgaria,601,597,647,642,616,584,557,545,566,558,547,558,561,582
120,Cameroon,...,...,...,...,9.882300377,14.94540024,...,...,...,...,...,...,...,...
136,Cayman Islands,0.029541461,0.025795847,0.025750557,0.018523101,0.0263559,0.0108174,0.0043517,0.0046928,0.0020656,0.0051268,0.0023184,0.003093,...,...
140,Central African Republic,...,...,...,...,...,9,...,...,...,...,...,...,...,...
156,China,102640,103880,106550,106910,108480,109452,110730,110910,113380,112620,111690,106920,105700,101670
344,"China, Hong Kong Special Administrative Region",0,0,0,0,0,0,0,0,0,0,0,0,...,...
170,Colombia,...,...,...,...,...,...,...,...,...,...,59661.56641,62757.13281,64657.51563,...
188,Costa Rica,...,5.490436554,15.47153378,28.18183327,47.26379776,61.94382858,81.94768524,100.8134537,125.2486267,152.5314484,216.4719238,249.5137177,366.8353271,381.4477234
191,Croatia,...,...,464,464,450,489,485,470,450,444,408,427,433,425
192,Cuba,1600,1485,1836,2286,2336,2169,2749,2375,3043,2867,2928,2814,2634,2784
531,Curaçao,...,...,...,...,...,...,...,54936,...,...,...,...,...,...
196,Cyprus,172,140,140,145,130,145,140,155,155,140,135,150,155,155
203,Czechia,402,385,379,381,380,376,377,378,379,371,361,366,363,369
384,Côte d'Ivoire,...,...,...,...,...,...,...,...,...,...,...,...,...,...
208,Denmark,660,628,671,567,688,650,686,683,622,761,780,639,672,...
212,Dominica,0,0,...,...,...,...,...,...,...,...,...,...,...,...
218,Ecuador,...,...,...,...,...,...,...,...,779.3099976,...,...,...,...,...
818,Egypt,5884,5884,5884,6474,7500,7500,6500,7500,7700,6700,6900,6900,...,...
233,Estonia,310,274,236,248,330,332,296,299,274,213,199,202,222,247
231,Ethiopia,...,...,...,...,...,...,...,...,...,...,...,...,...,...
242,Fiji,...,...,...,...,...,...,...,...,...,4167,3522,3801,3497,3575
246,Finland,285,285,264,...,...,...,...,...,...,...,...,...,...,...
250,France,6425,6318,6184,5662,5824,6113,5983,5908,5608,5621,5299,5764,5509,...
254,French Guiana,...,...,...,...,...,...,...,...,0.331833988,0.357259989,0.346105993,...,...,...
268,Georgia,520,521.7000122,435,422,428,447,430,381,368,403,400,499,480,489
276,Germany,6033,...,...,5825,...,...,5841,...,...,5916,...,...,5963,...
300,Greece,3733.600098,3771.600098,3679.300049,3651.100098,...,...,...,5615.27002,5615.140137,5614.359863,5610.490234,5611.22998,...,...
312,Guadeloupe,...,...,...,...,...,...,...,...,17.10383606,17.33468246,8.534906387,9.23880291,...,...
324,Guinea,...,16.70738602,17.68993187,18.88227463,42.60347748,25.77441025,25.71930695,26.71827507,27.91797638,28.82806969,29.62690353,32.53812027,33.52287674,34.70081711
328,Guyana,...,...,...,...,...,...,...,...,120.1500015,...,...,...,...,...
340,Honduras,165,...,...,...,...,...,...,...,...,...,...,...,...,...
348,Hungary,708,566,540,521,506,558,535,535,535,496,476,492,486,583
352,Iceland,160,160,...,...,...,...,3268,3475,3531,3451,2971,...,...,...
356,India,...,...,...,...,...,...,...,245000,...,...,...,...,...,...
368,Iraq,...,...,7000,4200,7000,7000,7000,4000,4000,4000,4000,...,...,...
372,Ireland,...,364,...,213,...,196,...,...,...,...,...,...,...,...
376,Israel,...,...,...,1064,961,834,836,749,802,651,801,...,...,...
388,Jamaica,...,...,...,...,...,...,...,...,...,...,400,210,140,...
392,Japan,...,...,...,10331,9669,9372,9390,9237,9208,...,...,...,...,...
400,Jordan,501,506,469.6300049,493.2690125,487.4190063,482.2999878,497.8999939,503.75,494.8190002,527.7999878,595.7999878,578.2999878,618.9000244,618.7999878
398,Kazakhstan,957,1152,1173,1217,1290,1229,1186,1137,1133,1075,1052,1056,1051,1032
404,Kenya,...,...,...,...,...,...,...,...,...,...,102.6781464,111.3460007,138.2940063,173.5200043
