CountryID,Country,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
8,Albania,...,...,...,...,...,...,...,...,...,...,888,932,...,1081
12,Algeria,3500,3650,3700,3850,2800,2950,4600,4600,4800,1595.849976,1702.369995,1857.719971,3900,3870
28,Antigua and Barbuda,1.669999957,1.789999962,1.75,1.179999948,2.130000114,2.349999905,2.190000057,2.559999943,2.609999895,2.049999952,0.400000006,0.50999999,...,...
51,Armenia,1780.699951,1867.599976,1963.900024,2154.100098,2021.5,1650.300049,1450.599976,1435.5,1626.800049,1606.400024,1538.300049,1967.300049,2045.599976,1710.900024
31,Azerbaijan,10468,11002,11071,10973,10403,9878,9698,9790,10279,10256,9773,9673,9803,10054
48,Bahrain,0,0,0,0,0,0,0,0,0,0,0,0,...,...
50,Bangladesh,0,0,0,0,0,0,0,3.200000048,3.200000048,3.200000048,3.660000086,199.5700073,...,...
52,Barbados,...,...,...,...,...,...,...,...,...,...,...,...,...,...
112,Belarus,753,739,720,738,719,715,721,747,743,696,704,603,...,...
56,Belgium,5789,5753,5800,5570,5517,5393,5341,4480,4664,4190,3925,3362,...,...
84,Belize,8.979999542,8.489287376,8.093400002,8.420999527,8.035200119,7.589000225,7.561999798,7.698999882,7.887000084,...,...,...,...,...
60,Bermuda,...,0,0,0,0,0,0,0,0,0,0,0,0,0
68,Bolivia (Plurinational State of),...,...,...,...,...,...,...,115.8011169,124.4564972,144.4301605,147.6642151,150.7967834,150.0223236,...
70,Bosnia and Herzegovina,58.20000076,55.72999954,55.15000153,62.18000031,62.31000137,98.08599854,106.8280029,121.4150009,133.1909943,129.0240021,112.375,107.8720016,...,...
72,Botswana,75,71.40000153,76.69999695,81.09999847,86.69999695,87.5,82.5,90.59999847,83.80000305,90.40000153,88.40000153,79.09999847,89,...
76,Brazil,...,...,...,...,...,...,...,49492.41406,55862.65234,54913.25391,57241.46094,56770.83984,56040,...
100,Bulgaria,5680,5439,5930,5560,5810,5536,5403,5840,5149,4910,4829,5071,5128,5076
120,Cameroon,...,...,...,...,82,116.6409988,...,...,...,...,...,...,...,...
136,Cayman Islands,0,0,0,0,0,0,0,0,0,0,0,0,...,...
140,Central African Republic,8.563362122,8.599253654,9.353322983,9.668087006,9.578687668,9.205990791,...,...,...,...,...,...,...,...
156,China,450420,457220,470670,472390,479640,483947,488160,495330,495280,500730,492050,496950,491240,494550
344,"China, Hong Kong Special Administrative Region",111,298,320,187,332,220,228,103,217,336,228,226,...,...
446,"China, Macao Special Administrative Region",1.120000005,1.590000033,2.519999981,6.239999771,6.949999809,6.010000229,3.089999914,0.790000021,1.610000014,3.599999905,4.090000153,3.210000038,...,...
170,Colombia,...,...,...,...,...,...,...,...,...,...,80295.67188,80840.92188,89626,...
188,Costa Rica,...,134.5319824,188.7659149,240.4008484,337.1994629,424.4729309,771.385376,965.3988647,1120.773438,1194.876953,1439.854858,1743.429077,2519.079346,2535.619141
191,Croatia,...,...,...,...,214,201,190,202,211,260,283,256,233,248
192,Cuba,3740,2328,3565,3157,4145,4643,3951,4178,4531,5155,5096,3223,3355,3877
531,Curaçao,...,...,...,...,...,...,...,0,...,...,...,...,...,...
196,Cyprus,95,95,93,71,30,39,61,66,100,115,82,82,63,61
203,Czechia,1626,1564,1557,1589,1608,1572,1573,1508,1461,1279,1289,1237,1273,1261
384,Côte d'Ivoire,...,...,...,...,...,...,...,...,...,...,...,...,...,...
208,Denmark,17,16,5,3,8,10,123,183,107,248,209,172,70,...
218,Ecuador,...,...,...,...,...,...,...,...,3119.310059,...,...,...,...,...
818,Egypt,52880,53100,53600,54030,56150,56650,55500,55500,55500,55500,55500,55500,...,...
233,Estonia,1439,1304,1324,1586,1276,1056,1546,1575,1357,1535,1525,1414,1534,1541
231,Ethiopia,...,...,...,...,...,...,...,...,...,...,...,...,...,...
242,Fiji,...,...,...,...,...,...,...,...,...,131208,127789,136143,137874,141630
246,Finland,...,...,6298,...,...,...,...,...,...,...,...,...,...,...
250,France,27289,27554,26368,25748,23379,23473,22356,22408,24400,22207,21776,22358,21028,...
254,French Guiana,...,...,...,...,...,...,...,...,18.56270027,17.75384331,18.0704174,...,...,...
268,Georgia,807,1001.299988,1249,1278,1395,1406,1520,1923,2044,1714,1670,1364,1630,1316
276,Germany,29524,...,...,26476,...,...,27195,...,22448,19411,20813,19996,18477,18362
300,Greece,5842.799805,5882.299805,5768,5820.5,...,...,...,4319.339844,4319.77002,4310.149902,4305.810059,4296.509766,...,...
312,Guadeloupe,...,...,...,...,...,...,...,...,65.66394043,67.72750092,73.32025909,80.62625122,...,...
324,Guinea,...,26.34000015,28.20000076,30.89999962,41.40000153,45.70000076,51.70000076,52.40000153,53.20000076,52.59999847,53.79999924,50.29999924,51.90000153,54.20000076
328,Guyana,...,...,...,...,...,...,...,...,14.85000038,...,...,...,...,...
340,Honduras,769.3499756,...,...,...,...,...,...,...,...,...,...,...,...,...
348,Hungary,...,4363,4376,4758,4926,5784,4835,4690,4516,4754,3447,3538,3473,...
352,Iceland,5,5,...,...,...,...,35,40,40,35,40,...,...,...
356,India,...,...,...,...,...,450000,...,...,...,...,...,...,...,...
368,Iraq,...,...,57000,54500,44800,34400,40400,40700,45000,44900,42810,37150,41010,43820
372,Ireland,...,435,...,517,...,561,...,...,...,...,...,...,...,...
376,Israel,...,...,...,625,634,479,504,517,516,645,470,...,...,...
388,Jamaica,...,...,...,...,...,...,...,...,...,...,1150,620,1210,...
392,Japan,...,...,...,72649,72731,72082,72077,71660,71292,...,...,...,...,...
400,Jordan,278.5,351.3999939,365.3299866,344.8999939,335.8999939,275.8800049,286.8999939,279.1000061,238.8800049,197.6999969,259,274,288.7000122,288.1000061
398,Kazakhstan,22683,23645,20071,21597,19184,20309,22626,20811,20256,21455,22026,20605,20583,21422
404,Kenya,...,...,...,...,...,...,...,...,...,...,33516.69531,34066.23438,34223.44922,34293.35547
