CountryID,Country,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
8,Albania,...,...,...,...,...,...,...,...,...,...,1123,1194,...,1188
12,Algeria,6300,6450,6500,6850,6950,7150,7203,7515,7800,4642.759766,4819.819824,5512.660156,7800,7730
20,Andorra,...,...,...,16.60948753,16.39779282,15.4166193,15.82946682,16.04419327,16.58762169,17.15185165,15.44569111,15.66994095,...,...
28,Antigua and Barbuda,2.75999999,3.049999952,2.980000019,3.279999971,3.529999971,3.950000048,3.789999962,3.75999999,3.809999943,2.769999981,1.080000043,1.25,...,...
51,Armenia,2502.699951,2670.600098,2806.899902,3012.100098,2873.5,2504.699951,2326.399902,2438.300049,2941.199951,2955.100098,2860.199951,3271.699951,3181.899902,2865.399902
36,Australia,...,13280,...,...,...,14613,13842,13702,16351,20133,19364,18222,16813.7168,...
31,Azerbaijan,11175,11800,12144,12085,11530,11140,10970,11296,11975,11994,11592,11689,11878,12120
48,Bahrain,231.6000061,208.5,216.5,199.8999939,182.8999939,169.1000061,181.8000031,186.6000061,178.6000061,182.1999969,179.1000061,159.1000061,...,...
50,Bangladesh,11.89999962,12,12.5,14.19999981,16.20000076,51.22999954,55.24000168,59.16999817,61.56000137,63.88999939,65.34999847,953.7199707,...,...
52,Barbados,...,...,...,...,...,...,...,...,...,...,...,...,...,...
112,Belarus,1791,1773,1729,1699,1638,1573,1598,1638,1642,1570,1571,1448,...,...
56,Belgium,6447,6389,6445,6217,6129,6005,5953,5082,5301,4829,4557,3994,...,...
84,Belize,10.59000015,10.14269447,9.778499603,10.25,9.902500153,9.441800117,9.480199814,9.635499954,9.876399994,...,...,...,...,...
60,Bermuda,...,2.579999924,2.599999905,2.349999905,2.099999905,1.850000024,1.789999962,1.809999943,1.659999967,1.549999952,1.389999986,1.419999957,1.320000052,...
68,Bolivia (Plurinational State of),...,...,...,...,...,...,...,249.5167694,269.2640686,306.6969604,312.9861145,323.446228,328.2978821,...
70,Bosnia and Herzegovina,379.0212097,378.7427673,380.3543396,389.5759277,391.8974915,429.8650513,435.3879089,423.591217,437.6753235,435.7796021,412.3840637,418.4923096,...,...
72,Botswana,179.1000061,174.3999939,179.1999969,178.6999969,186.5,185,181.8000031,189.8999939,187.1999969,186.3999939,188,187.8999939,201.3000031,...
76,Brazil,48982.27344,50677.6875,51860.01953,53887.98438,55668.22656,52335.17578,58846.90625,57983.375,65003.01172,65502.86328,69255.75,70270.97656,70016.53125,71566.64844
100,Bulgaria,6282,6036,6577,6202,6425,6121,5960,6385,5715,5468,5376,5629,5689,5658
120,Cameroon,104.1399994,109.8499985,106.4499969,159.2799988,91.88230133,131.5863953,...,...,...,...,...,...,...,...
124,Canada,...,40026.19922,...,39453.80078,...,31513.19922,...,33335.5,...,35850.30078,...,...,...,...
136,Cayman Islands,0.029541461,0.025795847,0.025750557,0.018523101,0.0263559,0.0108174,0.0043517,0.0046928,0.0020656,0.0051268,0.0023184,0.003093,...,...
140,Central African Republic,...,...,...,...,...,18.20599937,...,...,...,...,...,...,...,...
156,China,553060,561100,577220,579300,588120,593399,598890,606240,608660,613350,603740,603870,596940,596220
344,"China, Hong Kong Special Administrative Region",111,298,320,187,332,220,228,103,217,336,228,226,...,...
446,"China, Macao Special Administrative Region",1.120000005,1.590000033,2.519999981,6.239999771,6.949999809,6.010000229,3.089999914,0.790000021,1.610000014,3.599999905,4.090000153,3.210000038,...,...
170,Colombia,...,...,...,...,...,...,...,...,...,...,139957.2344,143598.0469,154283.5156,...
188,Costa Rica,...,140.0224152,204.237442,268.5826721,384.4632568,486.416748,853.3330688,1066.21228,1246.022095,1347.408447,1656.326782,1992.942749,2885.914795,2917.066895
191,Croatia,...,...,...,...,663,690,675,672,661,705,691,683,666,673
192,Cuba,5340,3813,5401,5443,6481,6812,6700,6553,7574,8022,8024,6037,5989,6661
531,Curaçao,...,...,...,...,...,...,...,54936,...,...,...,...,...,...
196,Cyprus,267,235,233,216,160,184,201,221,255,255,217,232,218,216
203,Czechia,2028,1949,1937,1969,1988,1947,1951,1887,1841,1650,1650,1603,1636,1630
384,Côte d'Ivoire,...,...,...,...,...,...,...,...,...,...,...,...,...,...
208,Denmark,677,644,676,571,696,660,809,866,728,1009,989,812,741,...
218,Ecuador,...,...,...,...,...,...,...,...,3898.629883,...,...,...,...,...
818,Egypt,58764,58984,59484,60504,63649,64149,62000,63000,63200,62200,62400,62400,...,...
