CountryID,Country,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
4,Afghanistan,...,19328.02,...,...,...,...,...,...,...,43377,...,...,...,...
8,Albania,7192.71,7131.13,7183.33,7551.47,7630.94,8125.7,...,...,...,...,...,...,...,...
12,Algeria,...,...,...,...,...,...,...,...,...,...,...,...,...,...
24,Angola,...,61610.76,...,...,...,...,...,...,...,...,...,...,...,...
28,Antigua and Barbuda,...,...,...,...,...,...,...,...,...,...,...,...,...,...
32,Argentina,...,...,...,...,...,...,"3,32,498.16",...,"3,38,963.35",...,...,...,...,...
51,Armenia,...,...,7021.64,...,...,...,7202.17,...,...,...,...,...,...,...
36,Australia,"5,20,315.18","5,26,206.97","5,30,787.99","5,36,888.60","5,40,669.00","5,44,285.46","5,40,571.41","5,42,511.92","5,44,732.76","5,35,006.81","5,30,411.02","5,38,618.78","5,48,862.55","5,56,612.27"
40,Austria,91139.81,92427.27,90022.83,87337.77,86747.76,80163.13,84612.84,82286.89,79528.79,79971.98,76346.01,78509.78,79467.29,82023.36
31,Azerbaijan,46259.96,49322.49,49235.65,46944.33,53779.54,48281.83,48048.28,49128.55,51803.95,57994.77,...,...,...,...
44,Bahamas,...,...,...,...,...,...,...,...,...,...,...,...,...,...
48,Bahrain,...,...,...,...,...,...,...,...,...,...,...,...,...,...
50,Bangladesh,...,99442.24,...,...,...,...,...,...,...,...,...,...,...,...
52,Barbados,1594,1643,1673,1773,1865,1921,1979,...,...,...,...,...,...,...
112,Belarus,85276.39,86694.06,90609.15,90175.18,93988.59,90091.83,92278.15,91896.01,92826.79,93891.18,93037.12,88445.26,90043.58,91112.5
56,Belgium,"1,49,273.60","1,46,251.99","1,43,391.88","1,39,789.97","1,39,699.33","1,27,051.68","1,34,315.86","1,23,782.51","1,20,922.50","1,20,949.31","1,15,215.77","1,19,418.39","1,18,172.44","1,18,005.10"
84,Belize,...,...,1302.15,...,...,1202.82,...,...,...,...,...,...,...,...
204,Benin,...,...,...,...,...,...,...,...,...,...,...,...,...,...
64,Bhutan,...,...,...,...,...,...,...,...,...,...,...,...,...,...
68,Bolivia (Plurinational State of),43665.1,...,...,...,...,...,...,...,...,...,...,...,...,...
70,Bosnia and Herzegovina,17451.84,16461.55,18721.69,18788.5,20379.4,23782.87,25740.2,28107.84,21816.44,24029,25740,...,...,...
72,Botswana,...,...,...,...,...,...,...,...,...,...,...,23977.58,...,...
76,Brazil,"8,14,206.76","8,29,852.13","8,35,405.20","8,40,726.07","8,68,919.21","8,55,372.90","9,17,073.32","9,53,766.85","9,83,403.27","10,23,745.34","10,51,252.38","10,26,660.50",...,...
96,Brunei Darussalam,...,...,...,...,...,...,9488.83,...,...,...,...,...,...,...
100,Bulgaria,63592.41,64117.73,64678.35,68555.8,67142.57,58154.08,60726.73,65995.81,60940.95,55666.99,58679.25,61920.68,59345.03,61682.76
854,Burkina Faso,...,...,...,20413.01,...,...,...,...,...,...,...,...,...,...
108,Burundi,...,1480.91,...,...,...,...,1939.17,...,...,...,...,1707.29,...,...
132,Cabo Verde,...,,,,,,,,,,,,,
116,Cambodia,...,...,...,...,...,...,...,...,...,...,...,...,...,...
120,Cameroon,...,...,...,...,...,...,...,...,...,...,...,...,...,...
124,Canada,"7,41,584.48","7,29,747.17","7,20,516.11","7,42,313.66","7,22,567.97","6,80,493.57","6,90,530.62","7,02,412.98","7,10,108.30","7,20,877.45","7,21,353.74","7,20,380.18","7,06,196.41","7,13,838.21"
140,Central African Republic,32278.75,32295.57,9756.02,9777.2,9782.46,5201.63,5225.25,...,...,...,...,...,...,...
148,Chad,...,...,...,...,...,...,...,...,...,...,...,...,...,...
152,Chile,...,...,78955.19,...,...,...,89416.32,...,...,"1,01,480.59",...,...,"1,08,800.02",...
156,China,...,"80,15,000.00",...,...,...,...,"1,05,43,331.00",...,"1,18,95,765.00",...,"1,23,00,200.00",...,...,...
170,Colombia,"1,53,884.77",...,...,...,...,...,...,...,...,...,...,...,...,...
174,Comoros,...,...,...,...,...,...,...,...,...,...,...,...,...,...
178,Congo,...,...,...,...,...,...,...,...,...,...,...,...,...,...
184,Cook Islands,...,...,...,...,...,...,...,...,...,...,...,...,...,...
188,Costa Rica,...,12114.03,...,...,...,...,...,...,...,...,...,...,...,...
384,Côte d’Ivoire,...,...,...,...,...,...,...,...,...,...,...,...,...,...
191,Croatia,29465.49,29920.38,30299.87,31726.83,30822.85,28468.42,28033.73,27707.92,25887.46,24463.77,23697.28,24125.31,24275.34,25032.08
192,Cuba,...,...,...,...,...,...,...,...,...,...,...,...,...,...
196,Cyprus,9235.4,9390.6,9600.37,9943.99,10094.96,9849.21,9518.12,9167.14,8631.48,7915.92,8291.26,8345.5,8794.1,8974.4
203,Czechia,"1,50,048.22","1,47,905.91","1,49,080.89","1,50,918.18","1,46,084.37","1,37,219.22","1,39,900.21","1,38,359.07","1,34,202.23","1,28,984.26","1,26,856.68","1,28,303.74","1,30,134.22","1,29,059.00"
408,Democratic People's Republic of Korea,...,...,...,...,...,...,...,...,...,...,...,...,...,...
180,Democratic Republic of the Congo,...,...,...,...,...,...,...,...,...,...,...,...,...,...
208,Denmark,71947.75,67541.34,75268.34,70696.82,67108.81,64354.79,64654.77,59421.5,54837.72,56561.6,52361.36,49742.09,51798.27,49678.02
262,Djibouti,...,...,...,...,...,...,...,...,...,...,...,...,...,...
212,Dominica,167.21,181.89,172.36,179.21,174.07,184.52,192.54,206.3,211.4,213.31,219.71,222.64,222.29,211.53
214,Dominican Republic,...,...,...,...,...,...,25230.77,...,...,...,...,...,...,...
218,Ecuador,...,...,48201.19,...,...,...,56333.13,...,60191.63,...,...,...,...,...
818,Egypt,...,"2,41,631.56",...,...,...,...,...,...,...,...,...,...,...,...
222,El Salvador,...,11069,...,...,...,...,...,...,...,...,...,...,...,...
232,Eritrea,...,...,...,...,...,...,...,...,...,...,...,...,...,...
233,Estonia,19305.7,19012.24,18295.81,22023.1,19872.67,16519.6,21019.06,21058.29,19966.95,21848.04,21056.79,18109.74,19640.42,20923.49
748,Eswatini,...,...,...,...,...,...,...,...,...,...,...,...,...,...
231,Ethiopia,81163.65,62776.98,72297.33,74642.46,83531.34,86741.5,92482.99,90195.1,94222.52,94995.96,...,...,...,...
242,Fiji,2710.07,...,...,...,...,...,...,...,...,...,...,...,...,...
