CountryID,Country,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
8,Albania,...,...,...,...,...,...,...,...,77,...,48,50,51,50
12,Algeria,72,72,72,74,77.5,79,86,87,90,90,90,90,93,93
20,Andorra,100,100,100,100,100,100,100,100,100,100,100,100,...,...
32,Argentina,...,...,...,...,...,...,50.20999908,...,...,...,...,...,...,...
51,Armenia,61.59999847,65.09999847,66.09999847,67,66.69999695,69.09999847,69.19999695,69.59999847,68,69.69999695,68.5,69.90000153,69.69999695,69.59999847
36,Australia,87,...,88,93,93,93,93,94,94,94,93,92,92,93
40,Austria,89,...,92,...,93,...,94,...,94,...,95,...,95,...
31,Azerbaijan,30,30.20000076,30.20000076,30.79999924,30.79999924,31.29999924,31.29999924,31.5,32.09999847,32.20000076,32.29999924,32.40000153,32.5,32.70000076
48,Bahrain,71,70,67,66,65,77,81,88,87,87,90,88,85,88
50,Bangladesh,...,...,...,...,...,...,...,...,...,...,...,21.73999977,...,...
56,Belgium,84,84,85,87,88,88,82,84,86,87,87,88,88,88
84,Belize,...,...,...,...,...,...,60.3730011,...,...,...,...,...,...,...
60,Bermuda,...,5,5,5,5,5,5,5,5,5,5,5,5,5
68,Bolivia (Plurinational State of),...,36.40000153,31.91602516,37.73846054,45.0609169,41.79250336,...,48.10697556,55.1990509,54.8080101,56.12456512,57.05994034,58.58403778,59.84954071
70,Bosnia and Herzegovina,20,20,21,21,24,25,26,27,28,31,32,34,35,36
76,Brazil,45.36000061,45.5,45.86000061,48.54999924,50.24000168,50.36000061,...,52.84999847,54.93999863,56.04999924,55.81999969,57.11000061,...,...
92,British Virgin Islands,...,...,...,...,...,...,...,...,...,...,...,...,...,...
96,Brunei Darussalam,88,...,...,...,...,...,...,90,...,...,...,...,...,...
100,Bulgaria,69,69,69,70,70,70,71,74,74,75,75,76,76,76
132,Cabo Verde,...,...,...,...,...,...,17.29999924,...,19.5,20.70000076,19.79999924,20.89999962,24.46258354,24.72448349
124,Canada,90,...,88,...,...,87,...,...,...,...,...,...,...,...
152,Chile,...,94.98000336,95.27999878,95.19999695,95.30000305,95.59999847,95.90000153,96.13999939,100,99.93000031,99.93000031,99.84999847,...,...
156,China,45.66999817,...,...,...,...,...,...,...,...,...,...,...,...,...
344,"China, Hong Kong Special Administrative Region",92.33000183,92.93000031,93.16999817,93.22000122,93.26000214,93.23000336,93.59999847,93.69999695,93.30000305,93.40000153,93.09999847,93.5,...,...
446,"China, Macao Special Administrative Region",...,...,...,...,...,...,...,100,100,100,100,100,...,...
170,Colombia,87.69999695,88.90000153,...,85.19999695,86.09999847,83.90000153,84.30000305,...,85.80000305,86.19999695,86.5,87.47277832,88.27099609,88.03468323
188,Costa Rica,...,...,...,...,24.89999962,25.17000008,24.13999939,25.55999947,24.54000092,26.59000015,26.58589554,21.12084007,21.25980759,23.29000092
191,Croatia,...,...,...,...,...,...,...,55,55,55,55,55,55,55
192,Cuba,38.79999924,38.79999924,36.79999924,37.09999847,37.09999847,35.90000153,35.70000076,34.79999924,35.79999924,35.90000153,35.90000153,36.29999924,36.29999924,36.40000153
196,Cyprus,28,30,...,...,...,...,...,...,...,...,...,...,...,...
203,Czechia,76,77,77,79,81,81,82,83,83,85,84,84,85,86
208,Denmark,...,...,...,...,...,90,90,91,91,91,91,91,92,92
212,Dominica,...,23,...,...,...,...,...,...,...,...,...,...,...,...
214,Dominican Republic,...,...,...,...,...,...,...,...,...,...,...,...,...,...
218,Ecuador,...,52.97000122,52.56000137,55.18000031,57.54999924,57.63000107,58.81999969,63.41999817,65.51000214,...,...,...,...,...
222,El Salvador,...,...,...,51.27000046,47.88999939,47.49000168,47.13999939,47.38000107,47.11000061,...,...,...,...,...
233,Estonia,73,75,75,75,81,81,82,82,83,82,82,83,83,83
246,Finland,...,...,...,...,...,...,83,83,83,83,85,...,...,...
250,France,82,...,...,...,...,...,82,82,82,82,80,82,82,81
254,French Guiana,46.90000153,...,...,...,...,...,...,...,...,...,...,...,...,...
268,Georgia,...,...,...,...,...,...,...,...,...,...,...,44,46,49
276,Germany,95,...,...,97,...,...,96,96,96,96,96,97,97,...
300,Greece,...,...,...,85,...,87.30000305,87.30000305,88.09999847,...,92.83000183,92.83000183,...,...,...
312,Guadeloupe,39.29999924,...,...,...,...,...,40,...,...,...,...,...,...,...
320,Guatemala,...,...,65.19999695,...,...,...,...,44.40000153,...,...,...,...,...,...
324,Guinea,...,10,10,10,11,11,...,...,...,...,84.40000153,...,...,...
328,Guyana,...,...,...,...,...,7.199999809,...,...,...,...,...,...,...,9.699999809
340,Honduras,32.29000092,28.89999962,31.67000008,33,34.63999939,35.56999969,35.29999924,36.22000122,36.90000153,36.56999969,39.09999847,36.90000153,...,...
348,Hungary,62,65,67,70,71,72,72,73,74,75,77,79,81,81
352,Iceland,89,90,...,...,92,...,91,...,...,...,...,...,...,...
364,Iran (Islamic Republic of),23.70000076,25.56999969,26.61000061,29.5,31.5,33.11999893,35.13999939,37.29999924,38.81999969,40.47999954,41.50999832,44.13000107,46.81000137,48.90000153
368,Iraq,...,25.70000076,...,29.70000076,26,27,23.79999924,27,32.20000076,33.29999924,31.79999924,38.40000153,42.5,34.59999847
372,Ireland,...,...,...,65,...,77,...,69,64,64,64,64,64,64
376,Israel,96.5,97,97.30000305,97.59999847,97.69999695,98,98.09999847,98.19999695,98.5,98.80000305,98.90000153,99,...,...
380,Italy,...,...,...,...,...,94,...,...,...,...,...,...,...,...
388,Jamaica,...,...,...,...,...,...,...,...,...,...,...,...,...,…
392,Japan,68,69,71,72,73,74,75,76,76,77,78,78,78,...
400,Jordan,...,59,60,62,63,63,65,67,59.70000076,59.70000076,59.70000076,62.09999847,62.09999847,62.09999847
398,Kazakhstan,...,...,54,46,52,52,52,60,60,60,63,57,58,55
404,Kenya,...,...,...,...,...,...,...,...,...,...,3.400000095,7.5,10.60000038,...
414,Kuwait,100,100,100,100,100,100,100,100,100,100,100,100,100,100
417,Kyrgyzstan,...,...,...,...,...,19.79999924,...,...,...,...,...,...,...,...
428,Latvia,66,66,65,64,61,66,64,68,75,76,76,77,77,82
422,Lebanon,67.40000153,...,...,...,...,...,...,...,...,...,...,...,...,...
438,Liechtenstein,...,...,...,...,...,...,...,...,...,...,...,99.90000153,99.86772156,99.86945343
440,Lithuania,...,...,...,...,70,72,...,...,67,67,70,72,74,74
442,Luxembourg,...,...,...,...,...,...,97,99,99,99,100,100,100,100
462,Maldives,100,100,100,100,100,100,100,100,100,...,...,...,...,...
470,Malta,100,100,100,100,100,100,98,98,98,98,98,99,99,99
584,Marshall Islands,...,...,...,43.29999924,...,...,...,37.79999924,...,...,...,...,...,...
474,Martinique,48.20000076,...,...,...,...,...,...,...,...,40,...,...,...,...
480,Mauritius,...,...,...,...,...,...,...,...,...,...,...,...,...,...
484,Mexico,...,68,...,...,...,...,71,...,...,...,...,...,...,...
492,Monaco,100,100,100,100,100,100,100,100,100,100,100,100,100,100
499,Montenegro,...,...,...,...,...,35,65,65.5,65.5,...,...,...,...,...
504,Morocco,...,...,...,...,...,...,...,...,72,72,73,74,...,...
528,Netherlands,99,99,99,...,99,99,99,99,99,99,99,99,99,100
807,North Macedonia,...,...,...,...,...,...,...,...,...,...,...,...,...,...
578,Norway,81,84,84,84,84,85,85,85,85,85,85,86,86,86
591,Panama,...,46,73,55,56,57,57,56,56,58,58,59,61,...
600,Paraguay,7.800000191,8.199999809,8.300000191,9.100000381,8.392603874,9.587184906,7.989780426,9.3039217,9.446578026,9.602010727,9.176187515,11.89999962,9.100000381,8.874610901
604,Peru,75,75.30000305,76.90000153,77.59999847,79.19999695,80.90000153,82.69999695,80.5,82.69999695,83.80000305,84.19999695,87.5,88.5,89
616,Poland,59,59,60,60,61,62,65,66,68.69999695,70.30000305,71.40000153,72.59999847,74,74
620,Portugal,...,74,77,74,78,81,...,...,...,...,...,...,...,86
634,Qatar,68,...,...,...,...,...,80,...,...,...,...,88,...,...
410,Republic of Korea,81,84,86,87,89,89,90,91,92,92,93,93,93,...
498,Republic of Moldova,...,...,...,...,...,...,...,...,21.39999962,22.20000076,22.5,22.20000076,23,23.10000038
642,Romania,40,...,...,...,29,29,44,44,47,47,47,48,49,51
638,Réunion,39.40000153,...,...,...,...,...,...,...,...,...,...,...,...,...
659,Saint Kitts and Nevis,0,0,0,0,0,0,0,0,0,...,...,...,...,...
682,Saudi Arabia,97,98,98,98,98,98,100,100,100,100,100,100,100,100
686,Senegal,...,...,...,...,...,...,...,...,...,...,...,...,...,9.899999619
688,Serbia,45.84999847,46.52000046,47.15999985,45.79000092,49.25,51.04000092,51.61000061,53.00999832,55.49000168,57.75,59.00999832,58.66999817,...,...
702,Singapore,100,100,100,100,100,100,100,100,100,100,100,100,...,...
703,Slovakia,56,57,57,58,59,60,60,62,62,64,65,65,66,68
705,Slovenia,63,63,63,63,63,63,63,63,63,63,63,63,67,71
710,South Africa,55,57,58,60,...,...,...,57,...,...,...,...,...,...
724,Spain,...,...,94,...,92,...,98,...,99,...,97,...,...,...
275,State of Palestine,42.90000153,44.70000076,45.29999924,...,45.5,52.09999847,54.40000153,55,57.40000153,55.29999924,...,53.90000153,...,...
752,Sweden,86,86,86,86,86,86,86,86,87,87,87,87,87,87
