CountryID,Country,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
8,Albania,...,0.800000012,0.800000012,5.599999905,7.300000191,7.300000191,...,...,22,...,21,19,16,17
12,Algeria,39,39,45,48,53,56,60,61,65,65,65,65,68,72
20,Andorra,31.10000038,47.70000076,86.40000153,98,98,98,98,100,100,100,100,100,...,...
24,Angola,...,...,...,...,...,...,...,17.79999924,...,...,...,...,...,...
32,Argentina,...,...,...,...,...,...,50.20999908,...,...,...,...,...,...,...
51,Armenia,33.18278122,35.19189835,35.85460281,36.47729111,36.47952652,37.96212387,38.19585037,38.55985641,37.76554871,37.09999847,37.09999847,38,38.09999847,38.29999924
40,Austria,100,...,100,...,100,...,100,...,100,...,100,...,100,...
31,Azerbaijan,13.5,13.60000038,13.60000038,13.89999962,13.80000019,14.10000038,14.10000038,14.10000038,14.39999962,18.39999962,18.5,18.89999962,19.10000038,19.5
48,Bahrain,71,70,67,66,65,77,81,88,87,87,90,88,85,88
50,Bangladesh,...,...,...,...,...,...,...,...,...,...,...,2.930000067,...,...
56,Belgium,73,74,88,97,96,97,96,97,92,93,94,95,95,96
84,Belize,...,...,...,...,...,...,10.56499958,...,...,...,...,...,...,...
60,Bermuda,...,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
70,Bosnia and Herzegovina,38,38,38,38,34,34,32,32,30,30,30,30,37,37
76,Brazil,...,...,...,...,...,...,...,41.47000122,42.29000092,42.49000168,43.61000061,46.86999893,49.29999924,...
92,British Virgin Islands,...,...,...,...,...,...,...,...,...,...,...,...,...,...
96,Brunei Darussalam,38,...,...,...,...,...,...,40,...,...,...,...,...,...
100,Bulgaria,72,72,72,73,74,75,77,82,82,82,82,87,87,87
108,Burundi,...,...,...,...,...,...,...,4,4,4.5,4.5,4.5,4.5,4.5
132,Cabo Verde,...,...,...,...,...,...,17.29999924,...,19.5,20.70000076,19.79999924,20.89999962,24.46258354,24.72448349
124,Canada,87.22000122,...,86.40000153,...,...,84.30999756,...,...,...,...,...,...,...,...
152,Chile,71.59999847,73.30000305,82,82.30000305,82.59999847,83.30000305,86.93029785,90.58789825,100,99.93000031,99.93000031,99.84999847,...,...
156,China,32.54999924,...,...,...,...,...,...,...,...,...,...,...,...,...
344,"China, Hong Kong Special Administrative Region",92.33000183,92.93000031,93.16999817,93.22000122,93.26000214,93.23000336,93.59999847,93.69999695,93.30000305,93.40000153,93.09999847,93.5,...,...
170,Colombia,71.33999634,72.70999908,...,90.80000305,91.5,89.69999695,89.80000305,...,91.19999695,91.19999695,91.30000305,91.81765747,92.28900909,92.44712067
188,Costa Rica,...,...,...,...,8.260000229,8.260000229,8.260000229,8.260000229,8.260000229,8.260000229,2.099999905,4.599999905,7.650000095,7.559999943
191,Croatia,...,9,9,22,...,...,...,98,98,98,98,98,98,98
192,Cuba,10.80000019,10.60000038,10.39999962,10.60000038,10.69999981,10.5,10.39999962,10.39999962,10.5,10.69999981,10.80000019,10.80000019,11.19999981,11.30000019
196,Cyprus,100,100,...,...,...,...,...,...,...,...,...,...,...,...
203,Czechia,74,75,74,76,78,78,79,81,78,80,80,81,81,82
208,Denmark,...,...,...,...,...,100,100,100,100,100,100,...,...,...
212,Dominica,...,13,...,...,...,...,...,...,...,...,...,...,...,...
214,Dominican Republic,...,12,...,...,...,...,...,...,...,...,...,...,...,...
222,El Salvador,...,...,...,3.079999924,2.869999886,2.849999905,2.829999924,2.839999914,2.829999924,...,...,...,...,...
233,Estonia,74,79,79,84,85,85,86,87,87,87,87,88,88,88
246,Finland,...,...,...,...,...,...,100,100,100,100,100,...,...,...
250,France,96,...,...,...,...,...,100,100,100,100,98,100,100,100
254,French Guiana,44,...,...,...,...,...,...,...,...,...,...,...,...,...
258,French Polynesia,...,5,...,...,...,...,...,...,...,8,...,...,...,...
268,Georgia,...,...,...,...,...,...,...,...,...,...,...,32,34,37
276,Germany,98,97,...,100,...,...,100,100,100,100,100,100,100,...
300,Greece,...,...,...,85,...,87.30000305,87.30000305,88.09999847,...,92.83000183,92.83000183,...,...,...
312,Guadeloupe,38.90000153,...,...,...,...,...,40,...,...,...,...,...,...,...
324,Guinea,...,10,10,10,11,11,...,...,...,...,...,...,...,...
328,Guyana,0,0,0,0,0,0,...,...,...,...,...,...,...,0
348,Hungary,72,61,63,66,68,69,72,72,73,73,74,77,78,79
352,Iceland,56,96,...,...,100,...,73,...,...,...,...,...,...,...
364,Iran (Islamic Republic of),20.39999962,21.89999962,23.20000076,23.70000076,24.20000076,25.10000038,25.29999924,25.89999962,26.39999962,27.10000038,28.79999924,30,31,31.5
368,Iraq,...,...,...,...,...,...,7,...,...,...,20.39999962,27.10000038,33.29999924,29.10000038
372,Ireland,...,...,...,...,...,...,...,96,93,93,93,94,94,94
376,Israel,92.09999847,92.90000153,93.5,94.09999847,94.5,95,95.5,96,96.30000305,96.59999847,96.69999695,96.80000305,...,...
392,Japan,68.06970215,69.25640106,71,71.69999695,72.69999695,73.69999695,75.09999847,75.80000305,76.30000305,77,77.59999847,77.80000305,...,...
400,Jordan,...,59,60,62,63,63,65,67,59.70000076,59.70000076,59.70000076,62.09999847,62.09999847,62.09999847
398,Kazakhstan,...,...,54,46,52,52,52,60,60,60,63,57,58,55
404,Kenya,...,...,...,...,...,...,...,...,...,...,3.400000095,7.5,10.60000038,...
414,Kuwait,100,100,100,100,100,100,100,100,100,100,100,100,100,100
428,Latvia,68,68,67,100,100,100,100,100,100,100,100,100,100,100
438,Liechtenstein,...,...,...,...,...,...,...,...,...,...,...,98.69999695,98.67724609,98.69451904
440,Lithuania,...,...,...,...,...,...,...,...,74,74,75,77,77,78
442,Luxembourg,...,...,...,...,...,...,99,100,100,100,98,98,98,...
450,Madagascar,0,0,...,...,...,...,...,...,...,...,...,...,...,...
458,Malaysia,...,...,...,60.28962326,63.53579712,67.52340698,68.32277679,68.51422882,70.10770416,71.32380676,73.32540131,75.40918732,78.42461395,78.8093338
462,Maldives,35,35,35,35,38,41,47,50,50,...,...,...,...,...
470,Malta,15,15,11,10,16,23,21,100,100,100,100,100,100,100
584,Marshall Islands,0,0,0,0,...,...,...,...,...,...,...,...,...,...
474,Martinique,48.20000076,...,...,...,...,...,...,...,...,40,...,...,...,...
480,Mauritius,...,...,...,19.04999924,19.39999962,19.45999908,20.10000038,20.97999954,22.23999977,23,24,25,27.09000015,27.47999954
484,Mexico,31.5,35,36.09999847,38.31000137,40.20999908,42.14931488,44.76977158,46.5,47.45999908,50.19142914,...,...,...,...
492,Monaco,100,100,100,100,100,100,100,100,100,100,100,100,100,100
499,Montenegro,...,10,11,15,17,18,18,18,18,...,...,...,...,...
528,Netherlands,100,100,100,...,100,...,100,100,100,100,100,100,100,100
554,New Zealand,81.09999847,81.30000305,81.5,81.59999847,81.69999695,81.69999695,81.80000305,82,82,82,82,84.09999847,...,...
807,North Macedonia,6,6.5,7,7,7,...,...,...,...,...,...,...,...,...
578,Norway,94,96,96,96,96,96,97,98,98,98,98,99,99,99
591,Panama,36,46,48,55,...,...,...,...,...,...,...,...,...,...
616,Poland,84,86,87,88,63,89,90,91,94,95,94,94,95,95
620,Portugal,...,79,...,...,...,...,...,...,...,...,...,...,...,85
634,Qatar,100,100,100,100,100,100,100,100,100,100,100,100,100,100
410,Republic of Korea,81.40000153,83.5,85.5,87.09999847,88.59999847,89.40000153,90.09999847,90.90000153,91.59999847,92.11000061,91.84999847,...,...,...
498,Republic of Moldova,...,...,...,...,...,...,...,...,...,...,...,...,...,...
642,Romania,28,29,31,32,32,32,34,42,45,46,47,48,50,52
638,Réunion,35.90000153,...,...,...,...,...,...,...,...,...,48.86769867,50,...,...
659,Saint Kitts and Nevis,5,5,5,5,5,5,5,5,5,...,...,...,...,...
682,Saudi Arabia,37,38,41,44,44,45,46,51.29999924,55.29999924,56.90000153,61.20000076,60.09999847,59.79999924,61.40000153
686,Senegal,...,...,...,...,...,...,...,...,...,...,...,...,...,4.400000095
688,Serbia,7.199999809,7.920000076,8.510000229,7.880000114,7.960000038,9.210000038,9.359999657,9.659999847,9.890000343,10.42000008,11.25,11.81000042,...,...
702,Singapore,99.90000153,99.90000153,99.90000153,99.90000153,100,100,100,100,100,100,100,100,...,...
705,Slovenia,84,85,86,88,88,89,87,90,89,90,90,92,92,96
710,South Africa,52,54,55,57,...,...,...,57,...,...,...,...,...,...
724,Spain,...,...,94,...,94,...,98,...,99,...,98,...,...,...
752,Sweden,100,100,100,100,100,100,100,100,100,100,100,100,100,100
756,Switzerland,...,99,...,...,...,...,100,...,...,100,...,...,...,...
780,Trinidad and Tobago,30,20,25.20000076,25.20000076,...,...,...,...,...,...,...,...,25.20000076,...
788,Tunisia,46.79999924,48.40000153,51.22000122,51.84999847,52.54999924,53.50999832,53.83000183,...,...,...,...,...,...,...
792,Turkey,36,42,43,46,46,50,52,...,58,64,64,70,71,...
784,United Arab Emirates,...,...,...,78.30000305,...,...,...,...,...,...,...,...,...,93.90000153
826,United Kingdom of Great Britain and Northern Ireland,100,100,...,...,97,97,100,...,...,...,...,...,...,...
840,United States of America,74.90000153,...,...,...,73.69999695,...,...,...,75.5,...,...,...,...,...
862,Venezuela (Bolivarian Republic of),21.29999924,21.70000076,21.89999962,22,22.29999924,23.78000069,...,...,...,...,...,...,...,...
887,Yemen,...,...,...,...,...,...,...,...,...,...,...,...,...,...
716,Zimbabwe,...,...,...,...,...,...,...,...,67.18444824,72.35426331,77.04000092,75.92900085,67.90555573,68.9719696
