CountryID,Country,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
8,Albania,32787,32840,32380,30964,29458,37218,51134,20569,43050,30615,37172,32711,38810,32224
12,Algeria,241837.2031,308914,332134.3125,282453.4063,544728.625,313696.5,373310.0938,291255.5,285533.0938,276258.9063,237403,238029.5,181922.0938,330957.4063
20,Andorra,359.9552612,360.815033,353.0133057,306.4562378,466.674469,464.0131226,423.6300049,355.0338745,352.9525146,482.6208496,551.6988525,474.7380066,...,...
660,Anguilla,84.25,124.4000015,99.55000305,86.29000092,96.88999939,71.08000183,...,...,...,...,...,...,...,...
28,Antigua and Barbuda,426.8999939,371,332.7999878,293.6000061,392.5,276.8999939,463.8999939,450.2000122,279.7000122,328.2000122,257.5,161.1000061,...,...
51,Armenia,15287,18714,16658,19221,13378,17713,19447,19579,15997,16310,16493,18506,19012,14335
40,Austria,...,...,...,99493,85243,96576,88872,83256,...,...,...,...,...,...
31,Azerbaijan,47534.69922,35252.30078,40009,43126.80078,38372.5,44564,43282,52462,39654,39611,33575,40927,43967,34085
48,Bahrain,42.40000153,55.79999924,157.1000061,35.5,12,56.40000153,15.39999962,75.90000153,24.60000038,59.90000153,41,50.59999847,48.29999924,...
50,Bangladesh,399177,369663,313734,404932,352987,328786,317128,367449,338821,338526,303847,410245,...,...
52,Barbados,...,...,...,...,...,...,...,...,...,...,...,...,...,...
112,Belarus,145720,134732,133902,131826,142623,167877,...,...,...,...,...,...,...,...
56,Belgium,28408,26028,29326,31476,29485,26224,27567,24047,29689,24946,26383,24967,26895,24867
84,Belize,40278,49017,...,...,...,...,...,...,...,...,...,...,...,...
204,Benin,7639.299805,6294.5,5385.299805,7687.600098,7808.899902,7216.100098,8181.100098,6832.399902,7453.200195,5990.100098,7011.200195,5950.5,6417.799805,6593
60,Bermuda,...,...,83.89846039,78.04572296,77.05186462,77.28652191,63.89700317,56,68.01000214,85.19000244,94.19000244,78.36000061,98.80999756,72.59999847
68,Bolivia (Plurinational State of),0.028116999,0.034633901,0.038992301,0.039963402,0.042359129,0.048197102,0.035500001,0.038702901,0.043890901,0.044889499,0.049970601,0.0451487,0.0358092,0.039567102
70,Bosnia and Herzegovina,36674,37955,29945,32440,29813,36268,78837,35201,52792,60371,75610,48982,55280,51354
72,Botswana,274797.625,474528.7813,219667.0625,422673.375,370841.25,378688.7813,361498.6563,207450.7344,253215.4375,415355.2188,...,...,...,...
76,Brazil,14327312,14212554,14410801,13706397,15320854,15955646,13857855,15303330,13553210,15175348,14560268,12728817,13162370,13870901
92,British Virgin Islands,183.2100067,163.1499939,...,...,...,...,...,...,...,...,...,...,...,...
100,Bulgaria,...,...,...,...,...,...,...,...,74630,70865,115306,82073,74713,84411
132,Cabo Verde,...,...,...,...,...,...,...,...,...,...,...,...,...,...
120,Cameroon,...,...,...,...,...,785944,...,...,...,...,...,...,...,...
140,Central African Republic,826091.375,820703.875,854861.9375,900370.125,...,...,...,...,...,...,...,...,...,...
156,China,5687600,6101000,5784000,5776300,6200000,5595900,6565000,5513300,6515000,6267400,...,6256900,6867200,...
344,"China, Hong Kong Special Administrative Region",1909,3529.5,2885.300049,1874.199951,3366.699951,2396.199951,2604.100098,1632.900024,2113.300049,3126.300049,2896.899902,2058.199951,...,...
