CountryID,Country and area,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
4,Afghanistan,70.89,74.06,70.76,72,68.65,87.18,85.99,82.49,85.91,78.67,85.32,86.07,86.15,84.7
8,Albania,98.63,98.59,98.32,97.56,98.14,99.98,99.99,98.6,100,100,100,100,100,100
12,Algeria,0.8,1.69,0.62,0.61,0.7,0.79,0.38,0.98,1.08,0.55,0.4,0.32,0.25,0.84
20,Andorra,98.94,98.82,94.59,75,79.75,76.54,88.5,86.81,86.36,88.7,88.98,86.87,84.85,83.96
24,Angola,78.13,84.31,80.61,77.62,75.41,65.34,67.96,70.91,60.8,58.02,53.18,53.18,56.12,71.4
660,Anguilla,0,0,0,0,0,0,0,0,0,0,0,0,0.96,0
28,Antigua and Barbuda,0,0,0,0,0,0,0,0.3,0.6,0.6,0.59,2.02,2.55,2.55
32,Argentina,30.52,32.08,33.18,28.57,25.25,28.06,27.03,24.58,22.26,24.06,30.29,28.94,26.37,29.03
51,Armenia,33.4,28.07,30.72,31.47,29.42,35.68,39.49,33.57,28.81,28.24,25.75,28.34,32.17,29.28
533,Aruba,0,0,0,0,0,0,11.38,12.14,14.86,14.87,15.05,14.81,14.57,14.11
36,Australia,7.49,7.25,7.66,7.09,6.28,6.39,7.52,9.57,9.32,11.91,13.21,11.91,13.15,14.32
40,Austria,62.25,61.04,61.91,63.42,63.91,66.13,61.48,60.63,69.57,72.57,75.61,71.04,72.15,70.25
31,Azerbaijan,12.67,13.16,10.26,10.82,10.31,12.24,18.42,13.19,7.92,6.38,5.28,6.67,8.08,7.42
44,Bahamas,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,Bahrain,0,0,0,0,0,0,0,0,0,0,0,0.03,0.04,0.03
50,Bangladesh,4.97,4.88,4.65,2.42,2.78,1.12,1.89,2.09,1.7,2.05,1.38,1.28,1.73,1.67
52,Barbados,0,0,0,0,0,0.09,0.19,0.29,0.27,0.39,0.97,1.34,2.79,2.8
112,Belarus,0.11,0.12,0.11,0.11,0.11,0.15,0.13,0.13,0.25,0.46,0.38,0.41,0.73,1.71
56,Belgium,2.04,2.41,2.63,2.73,3.16,3.29,3.97,5.58,8.18,10.1,12.88,15.03,12.27,13.53
84,Belize,43.24,44.23,84.91,82.11,94.95,79.32,63.37,62.89,49.06,61.23,56.26,50.86,53.59,48.74
204,Benin,1.23,0.93,0,0,0,0,0,0,0,0,0,1.82,3.62,1.81
60,Bermuda,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,Bhutan,99.92,99.92,99.96,99.97,100,100,100,99.99,100,100,100,100,100,99.99
