CountryID,Country,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
8,Albania,...,...,...,...,...,...,...,...,...,10927,12913,11794,13898,11529
12,Algeria,343,339,376,370,365,358,352,345,338,...,...,...,...,...
20,Andorra,2650,2617,2131,1684,3882,3478,3391,2135,2652,4273,4593,3545,...,...
51,Armenia,2100,2837,2276,3194,1526,2885,3017,3229,2020,2201,1899,2202,2344,1583
31,Azerbaijan,4238,3442,4156,3832,3055,3273,3739,3560,2857,2597,2488,2307,2634,2108
50,Bangladesh,10411,8460,9016,9068,9486,7677,8379,7041,7801,10304,9229,9479,...,...
112,Belarus,8376,8803,8371,7030,9407,10466,...,...,...,...,...,...,...,...
56,Belgium,...,...,...,...,...,...,...,...,2702,2678,2225,2340,2568,1951
84,Belize,12297,45793,...,...,...,...,...,...,...,...,...,...,...,...
60,Bermuda,...,...,61,57,56,57,47,42,42,41,41,41,41,41
70,Bosnia and Herzegovina,6995,7220,5811,6260,5812,6987,14483,3962,8057,10267,14568,7584,9350,8386
76,Brazil,50202,48457,49685,49834,47409,47754,46374,30432,20760,29891,28186,19773,19632,...
100,Bulgaria,...,...,...,...,...,...,...,...,11451,15042,16388,14720,14273,11559
108,Burundi,...,1355,...,...,...,...,...,...,...,...,...,...,...,...
344,"China, Hong Kong Special Administrative Region",87,345,244,49,280,127,181,40,114,295,250,142,...,...
188,Costa Rica,27981,26352,24154,27254,27461,23737,29926,23966,20597,20256,23421,22064,21430,22188
191,Croatia,...,5693,2993,3716,...,...,...,26119,28747,34027,34006,27062,48698,44920
192,Cuba,2183,5739,4602,6598,5042,2908,4274,3997,5223,4585,4413,3909,4033,5903
531,Curaçao,...,...,...,...,...,...,7398,4177,31133,3375,2426,2129,3359,3202
196,Cyprus,320,224,223,260,153,341,231,298,418,155,205,250,220,166
203,Czechia,1250,1525,1873,1351,1046,1138,2383,1323,1234,1878,804,945,1107,1363
218,Ecuador,3924,3848,6976,6947,11830,...,...,...,...,...,...,...,...,...
818,Egypt,610,716,889,1066,954,689,516,752,585,...,...,614,...,...
222,El Salvador,2732,5039,4273,3571,4439,3013,5559,5192,2870,2452,2446,2115,1671,3863
233,Estonia,...,21382,5659,23385,...,...,...,22862,22602,15130,...,...,...,...
246,Finland,27126,22970,20260,18686,28832,17222,19932,23572,29435,20341,18545,27351,23202,23359
250,France,...,1247,8278,8219,3476,2727,3379,2142,3347,4388,3862,2138,3550,2506
270,Gambia,1993,4519,-677,-564,3375,7438,...,...,...,...,...,...,...,...
268,Georgia,...,...,...,...,...,...,...,...,...,...,...,...,...,...
276,Germany,2129,1849,1840,2532,2058,2124,2336,1606,2085,2230,1608,1614,...,...
348,Hungary,11855,13682,13215,10784,11006,12562,16724,8934,9634,12828,11600,9381,11759,10411
352,Iceland,...,"4,58,172","5,48,250","5,37,041","4,67,573","5,01,848","3,83,148","5,34,748","4,63,637","4,77,982","5,35,323",...,...,...
368,Iraq,5320,4244,5928,4270,3010,1074,1629,2510,1881,1961,1422,1272,1579,1230
372,Ireland,...,10815,13262,10069,14552,15393,9282,12027,12182,10724,13817,15410,10202,10984
380,Italy,2539,2022,1287,1221,2264,2619,3037,0,0,0,...,...,...,...
388,Jamaica,...,4018,...,...,...,...,...,...,...,...,...,...,...,...
400,Jordan,213,...,107,107,80,98,118,79,72,69,67,94,86,67
398,Kazakhstan,8352,8596,6622,7417,5606,6179,8757,6115,5478,7113,6346,6112,8194,7688
414,Kuwait,...,...,...,38,11,38,8,24,36,31,18,24,21,11
417,Kyrgyzstan,4302,4190,3642,4237,4082,5337,5389,4030,5483,...,...,...,...,...
428,Latvia,14352,13344,10773,17512,16979,19179,24249,15382,22042,18555,18515,14204,22058,23405
422,Lebanon,...,...,...,...,...,980,...,...,...,...,...,...,...,...
440,Lithuania,7560,7446,5760,8345,6991,6366,9369,8457,9242,6826,8146,6846,11530,11871
442,Luxembourg,...,...,...,...,2138,1868,3776,2900,...,...,...,...,...,...
450,Madagascar,...,...,...,17341,...,...,...,...,...,...,...,...,...,...
466,Mali,6946,8195,7045,8666,8722,8556,9526,7670,9408,7964,7345,8085,8119,732
470,Malta,195,214,228,261,209,283,219,251,192,176,184,203,117,158
480,Mauritius,2240,2750,2030,2089,2360,2371,2203,1844,1754,2058,2077,2652,2001,2237
504,Morocco,961,...,...,705,1393,1344,...,...,...,...,...,...,...,...
520,Nauru,2644,2302,1687,733,287,1858,914,1004,1175,...,2348,3419,...,...
528,Netherlands,4924,4666,4977,6056,5227,4862,5608,4426,5596,5970,4872,4830,5429,...
807,North Macedonia,...,9307,6719,7467,6288,7021,10108,...,...,...,...,...,...,...
578,Norway,82068,3238,2309,2729,2581,2358,35252,58860,48988,49371,41097,55757,...,...
591,Panama,41524,43035,40084,46993,38350,35725,47604,37318,30471,27509,28249,23343,29967,32714
616,Poland,1313,1474,1307,1480,1414,1436,2264,1993,1295,1754,1371,1072,1091,1608
620,Portugal,2450,1126,999,3065,1596,1675,5125,3066,...,...,...,...,4475,1664
634,Qatar,74,80,164,41,32,65,23,50,23,36,23,42,29,40
498,Republic of Moldova,...,...,...,...,...,...,...,...,...,...,...,...,...,...
642,Romania,1850,2975,2657,1797,1893,1672,3027,1512,1212,1767,2106,1748,2058,1487
643,Russian Federation,31269,31727,30410,34115,32897,31368,30259,30703,29409,31974,31957,32058,30570,32169
686,Senegal,...,...,...,...,...,...,...,...,...,...,...,...,...,1771
688,Serbia,18935,22360,22728,16601,17178,19421,27331,15098,15908,22097,21902,18038,...,...
703,Slovakia,13201,15226,14526,15000,14661,15294,19173,11699,15274,18085,14647,12253,15856,14565
705,Slovenia,17145,14713,12594,13553,17834,18881,17982,9611,16211,18280,22417,11483,16090,15499
710,South Africa,...,...,...,...,...,...,...,...,...,...,...,...,...,...
724,Spain,1239,1915,2452,1512,1734,3678,2297,1718,3591,1352,...,3479,...,...
752,Sweden,21579,20755,21160,21872,22774,20321,19988,23231,24664,17591,18997,22582,16696,19668
756,Switzerland,6179,5954,6252,6793,6660,6139,6108,5029,6184,7626,6491,6168,...,...
760,Syrian Arab Republic,966,947,857,775,...,...,...,...,...,...,...,...,...,...
764,Thailand,...,...,...,...,...,...,...,...,...,...,4168,...,...,...
768,Togo,3252,3167,3083,3001,...,...,...,...,1677,...,...,...,...,...
780,Trinidad and Tobago,3316,3137,3340,...,...,...,...,...,...,...,...,...,...,...
788,Tunisia,443,303,348,356,201,321,201,270,295,166,...,...,...,...
826,United Kingdom of Great Britain and Northern Ireland,2966,2595,2708,2635,3040,2560,1753,...,...,...,...,...,...,...
862,Venezuela (Bolivarian Republic of),38251,40959,32198,34355,32307,19292,...,...,...,...,...,...,...,...
887,Yemen,...,...,...,...,...,...,...,...,...,...,...,...,...,...
716,Zimbabwe,4999,2925,4869,4394,4994,4868,4737,4921,3722,4586,4451,3184,3320,4758
