CountryID,Country,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
8,Albania,...,...,...,...,...,80,80,81,80,81,80,81,80,78
12,Algeria,88,90,90,95,95,96,96,96.5,98,98,98,98,...,...
20,Andorra,100,100,100,100,100,100,100,100,100,100,100,100,...,...
24,Angola,...,...,...,...,...,...,...,15.30000019,...,...,...,...,...,...
28,Antigua and Barbuda,...,...,...,...,...,...,...,82,...,...,...,...,...,...
51,Armenia,88.90000153,89.40000153,91.30000305,94.09999847,97,97.59999847,97,97.5,96.59999847,98.69999695,98.30000305,97.30000305,97.90000153,...
40,Austria,...,...,...,...,95,...,...,...,...,...,...,...,92,...
31,Azerbaijan,...,41.59999847,42,42.20000076,42.40000153,44.59999847,44.79999924,45,45.20000076,45.70000076,46.29999924,48.40000153,49.90000153,50.90000153
48,Bahrain,99,99,99,99,99.69999695,99.19999695,99.40000153,99,99.59999847,99.59999847,99.90000153,99.30000305,...,...
56,Belgium,98,95,98,100,100,100,...,...,...,...,...,...,...,...
84,Belize,57.43119812,57.26739883,57.12369919,57.00260162,56.9070015,56.84000015,57.32509995,57.40200043,57.55049896,...,...,...,...,...
60,Bermuda,...,19,19,19,19,19,19,19,19,19,19,19,19,19
68,Bolivia (Plurinational State of),...,75.76999664,77.43117523,79.70690155,74.78568268,65.20146179,...,69.14395142,80.75384521,82.29959869,83.85567474,84.7202301,85.25031281,85.67424774
70,Bosnia and Herzegovina,43.51981354,44.74758911,44.86376953,45.67636108,46.54005051,49.2691803,51.20346451,53.17926025,55,62,64,64,66,68
72,Botswana,95.80000305,...,96,...,...,...,...,...,...,...,...,...,...,...
76,Brazil,66,66.5,64.30000305,64.90000153,65.09999847,66.09999847,65.09999847,66.90000153,79.90000153,79.59999847,83.30000305,83.30000305,83.30000305,...
92,British Virgin Islands,...,...,...,...,...,...,...,...,...,...,...,...,...,...
100,Bulgaria,99,99,99,99,99,99,99,99,99,99,99,99,99,99
132,Cabo Verde,...,...,...,85.30000305,...,...,83.5439682,...,85.40000153,84.40000153,83.69999695,83.40000153,82.8806839,84.49820709
120,Cameroon,...,...,...,43.90000153,...,...,...,...,...,...,...,...,...,...
140,Central African Republic,...,...,...,...,...,30,...,...,...,...,...,...,...,...
344,"China, Hong Kong Special Administrative Region",99.90000153,99.90000153,99.90000153,99.90000153,99.90000153,99.90000153,99.90000153,99.90000153,99.90000153,99.90000153,99.90000153,99.98999786,...,...
446,"China, Macao Special Administrative Region",...,...,...,...,...,...,...,100,100,100,100,100,...,...
188,Costa Rica,...,...,...,...,94.69000244,95.19999695,90.73000336,91.84999847,92.69000244,94.60401917,95.07258606,94.91223145,95.26999664,95.20999908
