CountryID,Country,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
8,Albania,...,...,...,...,...,...,...,...,...,...,147.94,147.94,147.94,150.68
20,Andorra,43.37,44.44,45.95,47.04,47.67,47.71,48.1,46.4,51.37,56.97,54.94,54.82,...,...
51,Armenia,949,930,830,808,1023,984,1179,2056,2228,2569,2319,2221,2108.8,1509.04
40,Austria,6454.73,...,6561.58,...,6443.77,...,6580.76,...,6462.95,...,6564.32,...,6575.28,...
48,Bahrain,175.64,181.6,182.1,238.2,268.3,297.4,316.1,320.9,320.2,341.4,432,425.5,433.5,428.1
112,Belarus,...,...,...,...,...,...,...,...,...,...,...,...,...,...
60,Bermuda,...,8.66,9.17,8.77,8.29,8.73,8.03,7.65,8.14,8.6,8.84,8.11,9.22,6.7
70,Bosnia and Herzegovina,311.72,318.07,277.83,294.01,302.22,483.14,481.69,445.98,487.82,472.82,428.43,442.87,...,...
76,Brazil,74117.44,75708.8,69350.69,78376.79,82822.65,79344.24,86008.13,87392.05,94315.1,"1,02,151.67","1,06,983.67","1,11,465.24","1,09,494.16","1,11,604.28"
170,Colombia,...,...,...,...,...,...,...,...,...,...,2848.56,2896.47,2764.03,...
188,Costa Rica,...,...,...,...,316.48,318.07,533,540.29,544.3,536.02,547.03,1164.27,1609.69,1646.41
191,Croatia,...,...,...,...,1150.67,1175.33,1109.58,1172.59,1093.14,1109.58,1109.58,1073.96,1090.4,1027.39
818,Egypt,...,...,...,...,...,...,...,...,...,...,...,32600,...,...
268,Georgia,...,...,...,...,...,...,...,...,...,...,...,...,...,...
364,Iran (Islamic Republic of),6070,6350,6643,6887,7203,7537,7807,7495,7723,8123,8304,8519,8748,9221
368,Iraq,...,1525.5,1205.1,2164.7,991.1,1665.5,1661.3,1937.7,28761.8,1895.8,1724.3,1930.4,2320,3323.1
398,Kazakhstan,10123,10330,11706,15638,14155,14708,16395,15183,15403,16455,16907,16216,14221,15074
404,Kenya,...,...,...,...,...,...,...,...,...,...,...,...,...,4865.47
442,Luxembourg,...,...,...,...,...,...,...,...,...,...,...,...,...,...
458,Malaysia,...,...,...,3670.52,3940.94,4266.36,4266.36,4480.11,4654.98,4848.65,5066.35,5291.37,5581.9,5683.08
470,Malta,161.64,175.34,186.3,205.48,175.34,219.18,189.04,210.96,147.94,139.72,145.2,158.9,120.55,142.46
492,Monaco,17.55,17.22,17.09,16.39,17.62,18.05,17.8,17.06,16.14,18.99,21.17,16.83,16.59,16.08
499,Montenegro,...,33131,...,...,35849,...,...,30501,...,...,...,...,...,...
504,Morocco,...,...,...,...,...,...,...,...,...,...,...,2054.8,...,...
528,Netherlands,...,...,...,...,...,...,9591.69,...,8128.69,...,...,...,...,...
591,Panama,212.77,220.22,236.29,251.25,260.78,269.34,280.79,281.17,290.41,301.27,313.21,323.39,334.08,344.8
604,Peru,...,...,2083.53,2047.35,2115.25,2148.46,2151.09,2198.04,2063.3,2187.83,2579.15,2283.02,2852.7,...
616,Poland,5849.26,5794.47,5830.08,5893.09,6128.71,6021.86,6325.97,6224.6,6024.6,5939.67,5819.12,5813.64,5934.19,6021.86
498,Republic of Moldova,1906,1909,1903.9,1882.6,1878.2,1872.4,1887.3,1879,1867.1,1860.5,1836.4,1841.7,1840.2,1843.9
642,Romania,...,...,10914.96,13493.02,15747.8,14027.26,13353.3,15405.33,13651.93,5498.58,5410.91,5323.24,5353.37,5164.33
682,Saudi Arabia,...,...,...,...,...,...,5857.23,6030,6225,6373.78,6538.7,6698,6852.73,7002
688,Serbia,1127,1158,1126,1395,1352,1339,1292,1197,1268,1231,1172,1230,...,...
702,Singapore,...,...,...,...,...,...,...,...,...,...,...,...,...,...
705,Slovenia,...,...,...,...,...,...,284.93,276.71,293.15,315.07,328.76,315.07,295.89,306.85
804,Ukraine,23827.4,23432.88,23243.84,23504.11,22860.27,20221.92,21416.44,21164.38,21336.99,20383.56,17408.22,14638.36,14791.78,12917.81
834,United Republic of Tanzania,...,...,...,...,...,...,...,...,...,202.35,193.15,195.46,227.01,274.19
716,Zimbabwe,...,...,...,...,...,...,...,...,437.4,397.63,446.69,451.35,528.18,497.73
