CountryID,Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Footnotes 1990,Footnotes 1991,Footnotes 1992,Footnotes 1993,Footnotes 1994,Footnotes 1995,Footnotes 1996,Footnotes 1997,Footnotes 1998,Footnotes 1999,Footnotes 2000,Footnotes 2001,Footnotes 2002,Footnotes 2003,Footnotes 2004,Footnotes 2005,Footnotes 2006,Footnotes 2007,Footnotes 2008,Footnotes 2009,Footnotes 2010,Footnotes 2011,Footnotes 2012,Footnotes 2013,Footnotes 2014,Footnotes 2015,Footnotes 2016,Footnotes 2017
8,Albania,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,13164,16727,13412,16964,13856,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1
20,Andorra,187.960907,...,...,...,...,182.6981201,182.1261597,193.1883698,179.806839,185.8106537,191.2939911,185.5326385,190.5882568,190.9530182,176.4890594,173.422287,196.2562256,180.0543213,171.0600281,197.2431183,163.604538,192.645401,154.4371796,169.2293854,221.3279724,223.6974792,...,...,2,,,,,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,4,4,4,,
51,Armenia,10426,...,...,...,...,10526,10980,11346,10366,10400,9032,9750,10930,10997,10531,11320,11081,11367,9840,10674,12549,11066,10816,10773,11432,12827,12928,10382,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Azerbaijan,33183.60156,...,...,...,...,26356.80078,22900.09961,24455.59961,...,28517.09961,29122,23592.59961,33748.19922,36591,34287.30078,25427.90039,28831.90039,31082,28108,32163,32642,40163,28747,29580,23891,32942,33175,25473,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Bangladesh,68255,...,...,...,...,...,...,...,...,...,...,...,...,...,73365,82125,77015,71540,69715,81030,74095,70445,68255,68255,64970,74095,...,...,5,,,,,,,,,,,,,,5,5,5,5,5,5,5,5,5,5,5,5,,
112,Belarus,91344,...,...,...,...,98194.79688,72244.79688,92382,86456,73387,79807,83720,64247,76848,87763,74835,80553,87078,76584,91697,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Belgium,17201,14729.5,16161,15789.2002,16506.19922,16707,13813.2998,15498.2998,16667.90039,16939.19922,16585,16735,17253,17451,17176,18033,16823,17303,...,...,...,...,17577,14755,17579,14187,15804,14181,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1
84,Belize,...,...,...,...,...,...,...,...,...,...,...,36045,36045,36045,36883,36045,...,...,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,Benin,3766.899902,...,...,...,...,2802.800049,3669.100098,3169.199951,3474.600098,2637.699951,1658.699951,2666.899902,4128.799805,4088.199951,2915.300049,2533.899902,2528.199951,1659.400024,1600.800049,2125.100098,3670.100098,2531.300049,3909.100098,3934.399902,4859.899902,4349.399902,3376.100098,4224,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Bermuda,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,57.05095673,53.0710907,52.39526749,52.55483627,43.44996262,38.08000183,46.24679947,57.92919922,64.04920197,53.28480148,67.19080353,49.36800003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
