CountryID,Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Footnotes 1990,Footnotes 1991,Footnotes 1992,Footnotes 1993,Footnotes 1994,Footnotes 1995,Footnotes 1996,Footnotes 1997,Footnotes 1998,Footnotes 1999,Footnotes 2000,Footnotes 2001,Footnotes 2002,Footnotes 2003,Footnotes 2004,Footnotes 2005,Footnotes 2006,Footnotes 2007,Footnotes 2008,Footnotes 2009,Footnotes 2010,Footnotes 2011,Footnotes 2012,Footnotes 2013,Footnotes 2014,Footnotes 2015,Footnotes 2016,Footnotes 2017
8,Albania,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,235,262,...,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
12,Algeria,...,...,...,...,...,...,...,...,...,...,2600,2600,2600,2600,2800,2800,2800,3000,4150,4200,2603,2915,3000,3046.909912,3117.449951,3654.939941,3900,3860,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2
28,Antigua and Barbuda,1.139999986,...,...,...,...,0.550000012,...,...,...,...,0.660000026,0.949999988,0.970000029,0.819999993,1.090000033,1.25999999,1.230000019,2.099999905,1.399999976,1.600000024,1.600000024,1.200000048,1.200000048,0.720000029,0.680000007,0.74000001,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Armenia,1325.400024,...,...,...,...,851,616,520,530,536,533,530,675,674,722,803,843,858,852,854.4000244,875.7999878,1002.799988,1314.400024,1348.699951,1312,1304.400024,1136.300049,1154.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Azerbaijan,1706,...,...,...,...,1150,987,1098,681,454,547,511,545,607,707,798,1073,1112,1127,1262,1272,1506,1696,1738,1819,2016,2075,2066,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Bahrain,219.5,...,...,...,...,...,...,...,...,...,...,...,...,...,231.6000061,208.5,216.5,199.8999939,182.8999939,169.1000061,181.8000031,186.6000061,178.6000061,182.1999969,179.1000061,159.1000061,...,...,3,,,,,,,,,,,,,,3,3,3,3,3,3,3,3,3,3,3,3,,
50,Bangladesh,...,...,...,...,...,...,...,...,...,...,...,...,...,...,11.89999962,12,12.5,14.19999981,16.20000076,51.22999954,55.24000168,55.97000122,58.36000061,60.68999863,61.68999863,754.1500244,...,...,,,,,,,,,,,,,,,4,4,4,4,4,5,5,5,5,5,5,6,,
52,Barbados,61.20000076,...,...,...,...,61.20000076,58.79999924,58.5,52.90000153,52.70000076,51.59999847,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,Belarus,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1038,1034,1009,961,919,858,877,891,898,874,867,845,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Belgium,...,...,...,...,670,716,711.7000122,645.7999878,622.5,641,676,679,663,685,658,636,645,648,612,612,612,602,636,639,632,632,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
