CountryID,Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,"Footnotes
1990","Footnotes
1991","Footnotes
1992","Footnotes
1993","Footnotes
1994","Footnotes
1995","Footnotes
1996","Footnotes
1997","Footnotes
1998","Footnotes
1999","Footnotes
2000","Footnotes
2001","Footnotes
2002","Footnotes
2003","Footnotes
2004","Footnotes
2005","Footnotes
2006","Footnotes
2007","Footnotes
2008","Footnotes
2009","Footnotes
2010","Footnotes
2011","Footnotes
2012","Footnotes
2013","Footnotes
2014","Footnotes
2015","Footnotes
2016","Footnotes
2017"
8,Albania,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,888,932,...,1081,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
12,Algeria,...,...,...,...,...,...,...,...,...,...,3500,3500,3500,3500,3500,3650,3700,3850,2800,2950,4600,4600,4800,1595.849976,1702.369995,1857.719971,3900,3870,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2
28,Antigua and Barbuda,2.24000001,...,...,...,...,0.419999987,...,...,...,...,1.269999981,0.460000008,0.560000002,0.200000003,1.669999957,1.789999962,1.75,1.179999948,2.130000114,2.349999905,2.190000057,2.559999943,2.609999895,2.049999952,0.400000006,0.50999999,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Armenia,2616.600098,...,...,...,...,1480,1461,1730.699951,1614,1610,1638.199951,1495.699951,1417.5,1401.699951,1780.699951,1867.599976,1963.900024,2154.100098,2021.5,1650.300049,1450.599976,1435.5,1626.800049,1606.400024,1538.300049,1967.300049,2045.599976,1710.900024,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Azerbaijan,13757,...,...,...,...,12638,12475,11416,9554,11323,10443,9412,9374,9911,10468,11002,11071,10973,10403,9878,9698,9790,10279,10256,9773,9673,9803,10054,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Bahrain,0,...,...,...,...,...,...,...,...,...,...,...,...,...,0,0,0,0,0,0,0,0,0,0,0,0,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Bangladesh,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0,0,0,0,0,0,0,3.200000048,3.200000048,3.200000048,3.660000086,199.5700073,...,...,,,,,,,,,,,,,,,3,3,3,3,3,4,4,4,4,4,4,5,,
52,Barbados,0,...,...,...,...,0,...,...,...,...,0,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,Belarus,...,...,...,...,...,...,...,...,...,...,...,...,...,...,753,739,720,738,719,715,721,747,743,696,704,603,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Belgium,...,...,...,...,6340,7532,6765.399902,6928.799805,6795.399902,6505.899902,6860,6316,6076,5981,5789,5753,5800,5570,5517,5393,5341,4480,4664,4190,3925,3362,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,Belize,...,...,...,...,...,7.316065311,7.173733711,6.988248825,7.244142532,7.150000095,7.202866554,7.87350893,9.56000042,9.149999619,8.979999542,8.489287376,8.093400002,8.420999527,8.035200119,7.589000225,7.561999798,7.698999882,7.887000084,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Bermuda,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Bolivia (Plurinational State of),...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,115.8011169,124.4564972,144.4301605,147.6642151,150.7967834,150.0223236,...,,,,,,,,,,,,,,,,,,,,,,6,6,6,6,7,7,
70,Bosnia and Herzegovina,...,...,...,...,...,...,...,...,...,...,59.69527435,59.39563751,59.09600067,58.79636383,58.20000076,55.72999954,55.15000153,62.18000031,62.31000137,98.08599854,106.8280029,121.4150009,133.1909943,129.0240021,112.375,107.8720016,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Botswana,...,...,...,...,...,47.40000153,46.09999847,49.70000076,54.59999847,57.59999847,61.59999847,63.29999924,70.40000153,68.09999847,75,71.40000153,76.69999695,81.09999847,86.69999695,87.5,82.5,90.59999847,83.80000305,90.40000153,88.40000153,79.09999847,89,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Brazil,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,49492.41406,55862.65234,54913.25391,57241.46094,56770.83984,56040,...,,,,,,,,,,,,,,,,,,,,,,8,8,8,8,8,8,
100,Bulgaria,8484,6620.419922,6285.27002,6132.25,6312.060059,5391,6241.609863,6695.029785,7070.609863,6004.049805,5338,5114,5929,6270,5680,5439,5930,5560,5810,5536,5403,5840,5149,4910,4829,5071,5128,5076,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,Cameroon,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,82,116.6409988,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,9,9,,,,,,,,
136,Cayman Islands,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0,0,0,0,0,0,0,0,0,0,0,0,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,Central African Republic,7.112607002,...,...,...,...,7.442972183,...,...,...,...,7.512189865,7.544789791,8.304784775,8.436784744,8.563362122,8.599253654,9.353322983,9.668087006,9.578687668,9.205990791,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,China,...,...,...,...,...,...,...,...,...,451847,444040,445070,440440,428600,450420,457220,470670,472390,479640,483947,488160,495330,495280,500730,492050,496950,491240,494550,,,,,,,,,,,,,,,,,,,,,,,,,,,,
344,"China, Hong Kong Special Administrative Region",221,...,...,...,...,303,188,224,238,106,261,301,252,252,111,298,320,187,332,220,228,103,217,336,228,226,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446,"China, Macao Special Administrative Region",2.720000029,...,...,...,...,3.410000086,3.160000086,3.900000095,2.569999933,2.690000057,2.730000019,2.289999962,1.200000048,1.24000001,1.120000005,1.590000033,2.519999981,6.239999771,6.949999809,6.010000229,3.089999914,0.790000021,1.610000014,3.599999905,4.090000153,3.210000038,...,...,10,,,,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
170,Colombia,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,80295.67188,80840.92188,89626,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,Costa Rica,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,134.5319824,188.7659149,240.4008484,337.1994629,424.4729309,771.385376,965.3988647,1120.773438,1194.876953,1439.854858,1743.429077,2519.079346,2535.619141,,,,,,,,,,,,,,,,11,11,11,11,11,11,11,11,11,11,11,12,12
191,Croatia,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,214,201,190,202,211,260,283,256,233,248,,,,,,,,,,,,,,,,,,,,,,,13,,,,,
192,Cuba,...,...,...,...,...,...,...,...,...,...,...,...,...,...,3740,2328,3565,3157,4145,4643,3951,4178,4531,5155,5096,3223,3355,3877,,,,,,,,,,,,,,,14,14,14,14,14,14,14,14,14,14,14,14,14,14
531,Curaçao,...,...,...,...,...,...,...,...,...,...,...,0,...,...,...,...,...,...,...,...,...,0,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,Cyprus,...,...,...,...,...,...,...,...,33.70000076,45.29999924,50,61,76,84,95,95,93,71,30,39,61,66,100,115,82,82,63,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,
