Country ID,Country,latest year available,Freshwater abstracted (mio m3),Footnotes,latest year available,Renewable freshwater resources (mio m3),Footnotes,latest year available,Freshwater abstracted as a proportion of renewable freshwater resources (%)
8,Albania,2017,"1,188.00",1,2017,"33,253.00",2,2017,3.6
12,Algeria,2017,"7,730.00",,2012,"12,707.00",,...,...
20,Andorra,2015,15.67,3,2015,276.46,,2015,5.7
28,Antigua and Barbuda,2015,1.25,,...,...,,...,...
51,Armenia,2017,"2,865.40",,2017,"4,663.00",,2017,61.4
36,Australia,2016,"16,813.72",,...,...,,...,...
31,Azerbaijan,2017,"12,120.00",,2017,"20,751.00",,2017,58.4
48,Bahrain,2015,159.10,,...,...,,...,...
50,Bangladesh,2015,953.72,4,2015,"14,81,150.00",,2015,0.1
52,Barbados,2000,51.60,,...,...,,...,...
112,Belarus,2015,"1,448.00",,2009,"99,280.00",,...,...
56,Belgium,2015,"3,994.00",1,2017,"22,275.00",2,...,...
84,Belize,2012,9.88,,2005,"12,972.00",,...,...
60,Bermuda,2016,1.32,,2017,2.60,"5,6,7",...,...
68,Bolivia (Plurinational State of),2016,328.30,8,...,...,,...,...
70,Bosnia and Herzegovina,2015,418.49,9,2017,"28,107.00",,...,...
72,Botswana,2016,201.30,,...,...,,...,...
76,Brazil,2017,"71,566.65",,2016,"40,47,405.75",,...,...
100,Bulgaria,2017,"5,658.00",1,2017,"82,095.00",,2017,6.9
108,Burundi,...,...,,2005,"10,061.00",10,...,...
120,Cameroon,2009,131.59,11,...,...,,...,...
124,Canada,2013,"35,850.30",,...,...,,...,...
136,Cayman Islands,2015,0.00,,...,...,,...,...
140,Central African Republic,2009,18.21,,...,...,,...,...
156,China,2017,"5,96,220.00",,...,...,,...,...
344,"China, Hong Kong Special Administrative Region",2015,226.00,,2015,"1,019.50",,2015,22.2
446,"China, Macao Special Administrative Region",2015,3.21,12,...,...,,...,...
170,Colombia,2016,"1,54,283.52",,...,...,,...,...
188,Costa Rica,2017,"2,917.07",,2017,"1,09,827.47",,2017,2.7
191,Croatia,2017,673.00,1,2017,"1,87,893.00",13,2017,0.4
192,Cuba,2017,"6,661.00",14,2017,"66,930.00",,2017,10.0
531,Curaçao,2011,"54,936.00",,2017,518.60,,...,...
196,Cyprus,2017,216.00,1,2017,196.00,2,2017,110.2
203,Czechia,2017,"1,630.00",1,2017,"14,506.00",,2017,11.2
384,Côte d'Ivoire,1990,"1,262.00",,...,...,,...,...
208,Denmark,2016,741.00,1,...,...,,...,...
218,Ecuador,2012,"3,898.63",,2008,"1,70,909.20",,...,...
