CountryID,Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,"Footnotes
1990","Footnotes
1991","Footnotes
1992","Footnotes
1993","Footnotes
1994","Footnotes
1995","Footnotes
1996","Footnotes
1997","Footnotes
1998","Footnotes
1999","Footnotes
2000","Footnotes
2001","Footnotes
2002","Footnotes
2003","Footnotes
2004","Footnotes
2005","Footnotes
2006","Footnotes
2007","Footnotes
2008","Footnotes
2009","Footnotes
2010","Footnotes
2011","Footnotes
2012","Footnotes
2013","Footnotes
2014","Footnotes
2015","Footnotes
2016","Footnotes
2017"
8,Albania,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1123,1194,...,1188,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
12,Algeria,...,...,...,...,...,...,...,...,...,...,6100,6100,6100,6100,6300,6450,6500,6850,6950,7150,7203,7515,7800,4642.759766,4819.819824,5512.660156,7800,7730,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Andorra,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,16.60948753,16.39779282,15.4166193,15.82946682,16.04419327,16.58762169,17.15185165,15.44569111,15.66994095,...,...,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,,
28,Antigua and Barbuda,3.380000114,...,...,...,...,0.970000029,...,...,...,...,1.929999948,1.409999967,1.529999971,1.019999981,2.75999999,3.049999952,2.980000019,3.279999971,3.529999971,3.950000048,3.789999962,3.75999999,3.809999943,2.769999981,1.080000043,1.25,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Armenia,3942,...,...,...,...,2331,2077,2250.699951,2144,2146,2171.199951,2025.699951,2092.5,2075.699951,2502.699951,2670.600098,2806.899902,3012.100098,2873.5,2504.699951,2326.399902,2438.300049,2941.199951,2955.100098,2860.199951,3271.699951,3181.899902,2865.399902,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Australia,...,...,...,...,15055,24071,...,24071,...,...,...,22196,...,...,...,13280,...,...,...,14613,13842,13702,16351,20133,19364,18222,16813.7168,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Azerbaijan,15463,...,...,...,...,13788,13462,12514,10235,11777,10990,9923,9919,10518,11175,11800,12144,12085,11530,11140,10970,11296,11975,11994,11592,11689,11878,12120,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Bahrain,219.5,...,...,...,...,...,...,...,...,...,...,...,...,...,231.6000061,208.5,216.5,199.8999939,182.8999939,169.1000061,181.8000031,186.6000061,178.6000061,182.1999969,179.1000061,159.1000061,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Bangladesh,...,...,...,...,...,...,...,...,...,...,...,...,...,...,11.89999962,12,12.5,14.19999981,16.20000076,51.22999954,55.24000168,59.16999817,61.56000137,63.88999939,65.34999847,953.7199707,...,...,,,,,,,,,,,,,,,3,3,3,3,3,4,4,4,4,4,4,5,,
52,Barbados,61.20000076,...,...,...,...,61.20000076,58.79999924,58.5,52.90000153,52.70000076,51.59999847,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,Belarus,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1791,1773,1729,1699,1638,1573,1598,1638,1642,1570,1571,1448,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Belgium,...,...,...,...,7010,8248,7551.5,7689.700195,7479.799805,7211.700195,7536,6995,6738,6666,6447,6389,6445,6217,6129,6005,5953,5082,5301,4829,4557,3994,...,...,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,
84,Belize,...,...,...,...,...,8.538473129,8.42216301,8.266961098,8.514526367,8.420000076,8.594140053,9.431160927,11.16121006,10.68808079,10.59000015,10.14269447,9.778499603,10.25,9.902500153,9.441800117,9.480199814,9.635499954,9.876399994,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Bermuda,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2.579999924,2.599999905,2.349999905,2.099999905,1.850000024,1.789999962,1.809999943,1.659999967,1.549999952,1.389999986,1.419999957,1.320000052,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Bolivia (Plurinational State of),...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,249.5167694,269.2640686,306.6969604,312.9861145,323.446228,328.2978821,...,,,,,,,,,,,,,,,,,,,,,,6,6,6,6,7,7,
70,Bosnia and Herzegovina,...,...,...,...,...,...,...,...,...,...,371.7501831,373.6421204,375.5340576,377.4259949,379.0212097,378.7427673,380.3543396,389.5759277,391.8974915,429.8650513,435.3879089,423.591217,437.6753235,435.7796021,412.3840637,418.4923096,...,...,,,,,,,,,,,8,8,8,8,"8,9","8,9","8,9","8,9",8,8,8,8,8,8,8,8,,
