Country ID,Country,"Time Series - Greenhouse Gas Emissions (GHG) total without LULUCF, in 1000 tonnes of CO2 equivalent",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"GHG total without LULUCF, latest year",% change since 1990,"GHG emissions per capita,
 latest year"
,,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Latest Year,"1000 t of
 CO₂ equivalent",%,kg of CO₂ equivalent
4,Afghanistan,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"19,328.02",...,...,...,...,...,...,...,"43,377.00",...,...,...,...,...,2013,43377.00,...,1.34
8,Albania,"4,341.63","6,486.66","4,581.28","4,588.00","4,906.36","4,883.76","4,998.58","5,107.07","5,830.67","6,303.45","5,775.17","6,454.80","6,471.21","6,827.43","7,192.71","7,131.13","7,183.33","7,551.47","7,630.94","8,125.70",...,...,...,...,...,...,...,...,...,2009,8125.70,87.16,2.73
12,Algeria,...,...,...,...,"91,758.00",...,...,...,...,...,"1,11,022.59",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000,111022.59,...,3.58
24,Angola,...,...,...,...,...,...,...,...,...,...,"46,188.93",...,...,...,...,"61,610.76",...,...,...,...,...,...,...,...,...,...,...,...,...,2005,61610.76,...,3.17
28,Antigua and Barbuda,388.63,...,...,...,...,...,...,...,...,...,597.75,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000,597.75,53.81,7.86
32,Argentina,"2,31,057.28",...,...,...,"2,57,522.43",...,...,"2,70,910.29",...,...,"2,82,000.76",...,...,...,...,...,...,...,...,...,"3,32,498.16",...,"3,38,963.35",...,...,...,...,...,...,2012,338963.35,46.70,8.12
51,Armenia,"24,954.83",...,...,...,...,...,...,...,...,...,"5,525.91",...,...,...,...,...,"7,021.64",...,...,...,"7,202.17",...,...,...,...,...,...,...,...,2010,7202.17,-71.14,2.50
36,Australia,"4,24,998.38","4,26,015.21","4,30,216.38","4,30,612.56","4,30,653.33","4,39,004.90","4,46,681.85","4,58,841.60","4,72,629.67","4,78,199.84","4,89,373.84","4,96,982.31","5,00,807.89","5,02,301.78","5,20,315.18","5,26,206.97","5,30,787.99","5,36,888.60","5,40,669.00","5,44,285.46","5,40,571.41","5,42,511.92","5,44,732.76","5,35,006.81","5,30,411.02","5,38,618.78","5,48,862.55","5,56,612.27","5,58,047.22",2018,558047.22,31.31,22.41
40,Austria,"78,492.61","82,157.14","75,524.00","75,771.05","76,016.83","79,382.99","82,605.50","82,175.96","81,511.96","79,931.07","80,261.99","84,151.51","85,906.92","91,545.24","91,139.81","92,427.27","90,022.83","87,337.77","86,747.76","80,163.13","84,612.84","82,286.89","79,528.79","79,971.98","76,346.01","78,509.78","79,467.29","82,023.36","78,950.34",2018,78950.34,0.58,8.88
