CountryID,Country,1990,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Footnotes 1990,Footnotes 1995,Footnotes 1996,Footnotes 1997,Footnotes 1998,Footnotes 1999,Footnotes 2000,Footnotes 2001,Footnotes 2002,Footnotes 2003,Footnotes 2004,Footnotes 2005,Footnotes 2006,Footnotes 2007,Footnotes 2008,Footnotes 2009,Footnotes 2010,Footnotes 2011,Footnotes 2012,Footnotes 2013,Footnotes 2014,Footnotes 2015,Footnotes 2016,Footnotes 2017,
12,Algeria,...,185000,...,185000,...,...,...,...,...,325000,...,...,...,325100,...,...,...,...,...,...,...,...,...,...,,,,1,,,,,,1,,,,,,,,,,,,,,,
20,Andorra,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,976,2081,1788,1923.400024,1527.5,,,,,,,,,,,,,,,,,,,,,,2,2,2,
51,Armenia,...,...,...,...,286607,241596,381578,375500,377900,344095,351400,346325,352279,362275,437258.5313,441023.5625,435397.7813,462895.8125,470505.6875,579049.8125,576419.375,555076.5625,615470.625,543232.125,,,,,,,,,,,,,,,,,,3,,,,,,,
40,Austria,...,...,...,...,...,...,...,...,...,...,1013727,...,961899,...,1329984,...,1472864,...,1065888,...,1272288,...,1260953,...,,,,,,,,,,,,,,,,,,,,,,,,,
31,Azerbaijan,...,26998,18024,36097,33922,13030,26556,16437,9777,26861,11183,12831,29573,10471,24276,131839,139971,185676,296979.4063,202882,456625.0938,262556.5,632602,265970,,,,,,,,,,,,,,,,,,,,,,,,,
48,Bahrain,...,136000,138870,140000,140000,140000,140000,140000,140000,33616,33005,38202,38740,35008,...,...,...,...,...,...,...,...,...,...,,4,4,4,4,4,4,4,4,4,4,4,4,4,,,,,,,,,,,
50,Bangladesh,...,...,...,...,...,...,...,...,...,...,...,...,...,19920,...,...,...,...,28946,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,
112,Belarus,...,90300,...,...,...,...,73043,99110,116854,123915,154200,192037,238833.5938,321728.625,522111.0313,760486.625,918200,943195.6875,1322792.125,1415421.625,1723974.75,1207797.75,1626610,1668060,,,,,,,,,,,,5,5,5,5,5,5,5,5,5,5,5,5,5,
56,Belgium,...,...,...,...,...,...,...,...,...,...,5197467,...,4039064,...,5918821,...,4767299,...,2785751,...,2961135,...,3812878,...,,,,,,,,,,,,,6,,,,,,,,,,,,
84,Belize,...,...,...,...,...,691,775,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,,,,,,7,7,,,,,,,,,,,,,,,,,,
204,Benin,...,...,...,...,...,...,...,...,1698,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,,,,,,,,,8,,,,,,,,,,,,,,,,
60,Bermuda,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,582,590,570,566,588,601.5,600,525,,,,,,,,,,,,,,,,,,,,,,9,9,9,
64,Bhutan,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,428,,,,,,,,,,,,,,,,,,,,,,,,,
70,Bosnia and Herzegovina,...,...,...,...,...,...,...,...,...,...,...,...,...,...,10588,9632,10320,...,945923,...,8408,...,...,...,,,,,,,,,,,,,,,,,10,,,,10,,,,
100,Bulgaria,...,...,...,...,...,...,...,...,...,...,11897809,...,13551499,...,13042680,...,13553483,...,13407042,...,12206169,...,13328437,...,,,,,,,,,,,,,,,,,,,,,,,,,
854,Burkina Faso,...,...,...,...,...,...,...,...,...,...,340.6000061,365.7999878,592.9000244,422.5,654.5999756,688.5,35.79999924,18.29999924,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,
132,Cabo Verde,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,3548.928955,...,...,...,,,,,,,,,,,,,,,,,,,,,11,,,,
120,Cameroon,...,...,...,...,...,...,...,...,...,...,5785.5,9429.799805,10193.90039,8376.099609,9283.299805,8716.599609,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,
156,China,...,...,9930000,10100000,9740000,10150000,8300000,9520000,10010000,11700000,9950000,11620000,10840000,10790000,13570000,14300000,15867500,34312200,34652400,31568900,36335200,39761100,53473000,69368896,,,,,,,,,,,,,,,,,,12,,,,,,,
344,"China, Hong Kong Special Administrative Region",...,97066,79405,79533,61166,72140,91637,77078,64131,59238,47640,47133,59047,60657,56865,54812,40828,36151,33916,32688,31838,33738,...,...,,,,,,,,,,,,,,,,,,,,,,,,,
446,"China, Macao Special Administrative Region",...,...,...,4179,3854,3905,4188,4545,5249,5924,5870,5929,6499,6369,8826,11705,12419,17573,17683,17252,20157,23668,21129,19798,,,,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,
191,Croatia,...,...,...,...,...,...,...,...,...,...,113298,...,771116,...,221145,...,72553,...,121419,...,130239,...,174325,...,,,,,,,,,,,,,,,,,,,,,,,,,
192,Cuba,...,...,...,...,...,...,...,...,...,...,613836,941389,1253673,1417308,...,...,660756,500651,565216,496570,412100,302860,230897,235098,,,,,,,,,,,,,,,,,,,,,,,,,
196,Cyprus,...,...,...,...,...,...,...,...,...,...,111117,...,16961,...,23786,...,23770,...,31069,...,173050,...,159080,...,,,,,,,,,,,,,,,,,,,,,,,,,
203,Czechia,...,...,...,...,...,...,...,...,...,...,1446021,...,1307080,...,1510496,...,1362864,...,1481281,...,1162342,...,1088714,...,,,,,,,,,,,,,,,,,,,,,,,,,
208,Denmark,...,...,...,...,...,...,...,...,...,...,319672,...,372892,...,419646,...,1224795,...,1216905,...,1715907,...,2010740,...,,,,,,,,,,,,,,,,,,,,,,,,,
212,Dominica,...,...,...,...,...,...,...,...,627,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,
233,Estonia,...,...,...,...,...,...,...,...,...,...,7333269,...,6618811,...,7538297,...,8961708,...,9159139,...,10410321,...,9682164,...,,,,,,,,,,,,,,,,,,,,,,,,,
242,Fiji,...,...,...,...,...,...,...,...,...,...,...,...,3928.290039,2957.429932,3276.389893,3682.02002,3510.189941,3946.790039,2883.409912,6678.572754,10765.0166,11920.83594,12956.52051,14332.50684,,,,,,,,,,,,,,,,,,,,,,,,,
246,Finland,...,...,...,...,...,...,...,...,...,...,2153103,...,2710948,...,2163268,...,2559417,...,1653942,...,1998693,...,2388490,...,,,,,,,,,,,,,,,,,,,,,,,,,
250,France,...,...,...,...,...,...,...,...,...,...,8764275,...,8888747,...,10892900,...,11538134,...,11303137,...,10782969,...,11010282,...,,,,,,,,,,,14,,14,,,,,,,,,,,,
254,French Guiana,...,...,...,...,...,...,...,...,...,...,...,...,3230,2366,532,628,611,673,863,676,1689,1189,8577,...,,,,,,,,,,,,,15,15,,,,,,,,,,,
276,Germany,...,...,...,...,...,...,...,...,...,...,20000026,...,21705416,...,22323152,...,19931452,...,21983896,...,21812660,...,23039154,...,,,,,,,,,,,,,,,,,,,,,,,,,
300,Greece,...,...,...,...,...,...,...,...,...,...,336075,...,274954,...,252955,...,291773,...,297370,...,221041,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,
312,Guadeloupe,...,...,...,...,...,...,...,...,...,...,...,...,10126,5738,1574,844,7488,1983,9059,11859,11670,22005,10024,...,,,,,,,,,,,,,15,15,,,,,,,,,,,
320,Guatemala,...,...,...,...,...,...,...,556244,626895,648331,622030,598960,822456,847,1079.300049,36.40000153,301350,30.89999962,14.10999966,17247.63086,20363.63086,11414.62988,4883.629883,15563.62988,,,,,,,,,,,,,,,16,16,16,16,,16,16,16,16,16,
348,Hungary,...,...,...,...,...,...,...,...,...,...,1364493,...,1300126,...,670613,...,540599,...,700246,...,596554,...,457139,...,,,,,,,,,,,6,,6,,6,,,,,,,,,,
352,Iceland,...,...,...,...,...,...,...,...,...,...,8501,...,...,...,90484,...,8304,...,16263,...,36250,...,47857,...,,,,,,,,,,,,,,,,,,,,,,,,,
356,India,...,...,...,...,...,...,7243750,...,...,...,...,...,8140000,...,6232507,...,...,7903628,7900000,...,7423002,7803517,...,7172762,,,,,,,,,,,,,,,,,,,,,,,,,
368,Iraq,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2521.300049,...,15546,...,119425,...,7149.600098,20622,29737,16191,,,,,,,,,,,,,,,17,,,,,,,,18,19,
372,Ireland,...,...,...,...,...,...,...,...,...,...,724345,...,708791,...,743418,...,1972204,...,478706,...,482907,...,533987,...,,,,,,,,,,,,,6,,,,,,,,,,,,
