CountryID,Country,1990,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Footnotes 1990,Footnotes 1995,Footnotes 1996,Footnotes 1997,Footnotes 1998,Footnotes 1999,Footnotes 2000,Footnotes 2001,Footnotes 2002,Footnotes 2003,Footnotes 2004,Footnotes 2005,Footnotes 2006,Footnotes 2007,Footnotes 2008,Footnotes 2009,Footnotes 2010,Footnotes 2011,Footnotes 2012,Footnotes 2013,Footnotes 2014,Footnotes 2015,Footnotes 2016,Footnotes 2017
20,Andorra,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,1,1,1
51,Armenia,...,...,...,...,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,,,,,,,,,,,,,,,,,2,,,,,,
40,Austria,...,...,...,...,...,...,...,...,...,...,85.02950005,...,34.83130765,...,29.71622215,...,27.23143481,...,31.79133267,...,34.59405418,...,35.46841159,...,,,,,,,,,,,,,,,,,,,,,,,,
31,Azerbaijan,...,94.20697829,100,100,100,100,100.8547974,29.97505628,34.1822645,42.7832173,940.4006081,43.41828384,4854.029013,73.31677968,284.9728127,131.7198202,108.088037,74.47462246,69.09947249,75.1402293,115.8732858,145.8726027,111.8820364,81.52686393,,,,,,,,,,,,,,,,,,,,,,,,
50,Bangladesh,...,...,...,...,...,...,...,...,...,...,...,...,...,100,...,...,...,...,100,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,
112,Belarus,...,...,...,...,...,...,...,117.8649985,119.3155562,100.0121051,110.077821,164.1615939,144.8456071,138.6895167,119.8842823,124.0398787,122.4787628,117.753454,128.8210534,130.6074524,121.438365,128.9828119,116.9665747,103.8020215,,,,,,,,,,,3,"3,4","3,4","3,4","3,4","3,4","3,4","3,4","3,4","3,4","3,4","3,4","3,4","3,4"
56,Belgium,...,...,...,...,...,...,...,...,...,...,63.69308357,...,43.59247588,...,37.16969984,...,73.15809224,...,61.15460427,...,70.96940869,...,64.24886923,...,,,,,,,,,,,,,5,,,,,,,,,,,
84,Belize,...,...,...,...,...,100,100,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,,,,,,6,6,,,,,,,,,,,,,,,,,
60,Bermuda,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,100.5154639,101.8644068,101.0526316,95.93639576,104.5918367,111.2385662,100,100.952381,,,,,,,,,,,,,,,,,,,,,,5,5,5
64,Bhutan,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,100,,,,,,,,,,,,,,,,,,,,,,,,
100,Bulgaria,...,...,...,...,...,...,...,...,...,...,101.6237023,...,99.43184145,...,99.95670368,...,100.0566423,...,99.87005336,...,99.75642644,...,98.86913222,...,,,,,,,,,,,,,,,,,,,,,,,,
854,Burkina Faso,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1.292665159,31.28491634,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,
120,Cameroon,...,...,...,...,...,...,...,...,...,...,98.79007864,100,101.4714682,99.04490152,101.0772032,100,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,
156,China,...,...,...,...,95.29774127,97.43842365,70.72289157,70.48319328,63.23676324,68.54700855,68.14070352,71.85886403,78.87453875,92.30769231,89.01989683,88.04195804,93.87112021,78.3840733,77.99892648,76.06505136,82.31191792,81.07673077,82.83638472,95.07113966,,,,,,,,,,,,,,,,,,7,,,,,,
344,"China, Hong Kong Special Administrative Region",...,100,100,99.74098802,144.6195599,99.39700582,99.58968539,99.89620904,99.55871575,99.54421149,99.3240974,98.35359515,98.18110996,98.21455067,98.30123978,97.53156243,96.51219751,95.18132278,94.29472815,94.13852178,95.22583077,93.95636967,...,...,,,,,,,,,,8,8,8,8,8,8,8,8,8,8,8,8,8,,
446,"China, Macao Special Administrative Region",...,...,...,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,,,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
191,Croatia,...,...,...,...,...,...,...,...,...,...,37.63173225,...,80.84166325,...,8.304053901,...,94.48816727,...,60.45511823,...,50.71829483,...,43.534777,...,,,,,,,,,,,,,,,,,,,,,,,,
192,Cuba,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,73.9549849,46.03386391,95.09780332,94.1041545,83.87891289,89.90457637,45.96681637,32.40946329,,,,,,,,,,,,,,,,,,,,,,,,
196,Cyprus,...,...,...,...,...,...,...,...,...,...,58.53919742,...,98.17227758,...,97.91473976,...,129.486748,...,42.73391483,...,90.86564577,...,88.95147096,...,,,,,,,,,,,,,,,,,,,,,,,,
203,Czechia,...,...,...,...,...,...,...,...,...,...,44.84699738,...,43.79969091,...,55.266482,...,61.01856091,...,50.86151783,...,51.38840376,...,48.63444394,...,,,,,,,,,,,,,,,,,,,,,,,,
208,Denmark,...,...,...,...,...,...,...,...,...,...,105.8378588,...,100.716025,...,99.15381059,...,87.62429631,...,99.15170042,...,90.14544495,...,93.74319902,...,,,,,,,,,,,,,,,,,,,,,,,,
233,Estonia,...,...,...,...,...,...,...,...,...,...,97.91514535,...,103.7109233,...,102.2618371,...,99.63009283,...,99.69576835,...,99.08527316,...,99.05200945,...,,,,,,,,,,,,,,,,,,,,,,,,
242,Fiji,...,...,...,...,...,...,...,...,...,...,...,...,100,100,100,100,100,100,100,100,100,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,
246,Finland,...,...,...,...,...,...,...,...,...,...,103.5277922,...,80.13624754,...,100.6827633,...,53.3624259,...,85.32995716,...,95.84858705,...,83.89836256,...,,,,,,,,,,,,,,,,,,,,,,,,
250,France,...,...,...,...,...,...,...,...,...,...,77.26822812,...,75.26167636,...,62.91378788,...,73.96035615,...,78.21725066,...,70.52848803,...,65.07762471,...,,,,,,,,,,,10,,10,,,,,,,,,,,
254,French Guiana,...,...,...,...,...,...,...,...,...,...,...,...,...,3.212172443,20.86466165,...,...,...,...,190.9763314,99.58555358,...,...,...,,,,,,,,,,,,,,11,11,,,,,12,12,,,
276,Germany,...,...,...,...,...,...,...,...,...,...,102.7835264,...,100.1742054,...,106.7225811,...,95.56222999,...,95.97205154,...,94.07888813,...,93.31528406,...,,,,,,,,,,,,,,,,,,,,,,,,
300,Greece,...,...,...,...,...,...,...,...,...,...,87.07877706,...,67.93318155,...,62.07191002,...,37.08430869,...,36.3533645,...,52.03333318,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,
