CountryID,Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Footnotes 1990,Footnotes 1991,Footnotes 1992,Footnotes 1993,Footnotes 1994,Footnotes 1995,Footnotes 1996,Footnotes 1997,Footnotes 1998,Footnotes 1999,Footnotes 2000,Footnotes 2001,Footnotes 2002,Footnotes 2003,Footnotes 2004,Footnotes 2005,Footnotes 2006,Footnotes 2007,Footnotes 2008,Footnotes 2009,Footnotes 2010,Footnotes 2011,Footnotes 2012,Footnotes 2013,Footnotes 2014,Footnotes 2015,Footnotes 2016,Footnotes 2017
8,Albania,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,77,...,48,50,51,50,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1
12,Algeria,48.31999969,...,...,...,...,55.72999954,...,...,66.33999634,...,83,71,71,71,72,72,72,74,77.5,79,86,87,90,90,90,90,93,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Andorra,...,...,...,...,...,...,...,...,...,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Argentina,...,...,...,...,...,...,...,...,...,...,...,42.5,...,...,...,...,...,...,...,...,50.20999908,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Armenia,67.59999847,...,...,...,...,65.69999695,64.09999847,64,63.70000076,63.59999847,63.29999924,62.79999924,58.79999924,60.20000076,61.59999847,65.09999847,66.09999847,67,66.69999695,69.09999847,69.19999695,69.59999847,68,69.69999695,68.5,69.90000153,69.69999695,69.59999847,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Australia,...,...,...,...,...,...,...,...,...,...,...,90,...,...,87,...,88,93,93,93,93,94,94,94,93,92,92,93,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
40,Austria,72,72,72,75.69999695,...,76,...,...,81,...,85,86,86,89,89,...,92,...,93,...,94,...,94,...,95,...,95,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Azerbaijan,...,...,...,...,...,...,...,...,...,...,...,...,...,30,30,30.20000076,30.20000076,30.79999924,30.79999924,31.29999924,31.29999924,31.5,32.09999847,32.20000076,32.29999924,32.40000153,32.5,32.70000076,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Bahrain,58,...,...,...,...,64,65,66,69,71,74,75,77,79,71,70,67,66,65,77,81,88,87,87,90,88,85,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Bangladesh,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,21.73999977,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
