CountryID,Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Footnotes 1990,Footnotes 1991,Footnotes 1992,Footnotes 1993,Footnotes 1994,Footnotes 1995,Footnotes 1996,Footnotes 1997,Footnotes 1998,Footnotes 1999,Footnotes 2000,Footnotes 2001,Footnotes 2002,Footnotes 2003,Footnotes 2004,Footnotes 2005,Footnotes 2006,Footnotes 2007,Footnotes 2008,Footnotes 2009,Footnotes 2010,Footnotes 2011,Footnotes 2012,Footnotes 2013,Footnotes 2014,Footnotes 2015,Footnotes 2016,Footnotes 2017
8,Albania,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0.800000012,0.800000012,5.599999905,7.300000191,7.300000191,...,...,22,...,21,19,16,17,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1
12,Algeria,...,...,...,...,...,...,...,...,...,...,30,30,32,32,39,39,45,48,53,56,60,61,65,65,65,65,68,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Andorra,...,...,...,...,...,...,...,...,...,3.74000001,3.619999886,3.5,17.07999992,19.60000038,31.10000038,47.70000076,86.40000153,98,98,98,98,100,100,100,100,100,...,...,,,,,,,,,,,,,,,,2,3,,,,,,,,,,,
24,Angola,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,17.79999924,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Argentina,...,...,...,...,...,...,...,...,...,...,...,42.5,...,...,...,...,...,...,...,...,50.20999908,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Armenia,63.90000153,...,...,...,...,32.98068619,32.97618103,33.1655426,33.17496109,33.36180878,33.41236496,33.29818344,31.4518261,32.32559204,33.18278122,35.19189835,35.85460281,36.47729111,36.47952652,37.96212387,38.19585037,38.55985641,37.76554871,37.09999847,37.09999847,38,38.09999847,38.29999924,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Austria,100,...,...,...,...,98,...,...,99,...,100,100,100,100,100,...,100,...,100,...,100,...,100,...,100,...,100,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Azerbaijan,...,...,...,...,...,...,...,...,...,...,...,...,...,13.10000038,13.5,13.60000038,13.60000038,13.89999962,13.80000019,14.10000038,14.10000038,14.10000038,14.39999962,18.39999962,18.5,18.89999962,19.10000038,19.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Bahrain,58,...,...,...,...,64,65,66,69,71,74,75,77,79,71,70,67,66,65,77,81,88,87,87,90,88,85,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Bangladesh,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2.930000067,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,4,,
56,Belgium,...,...,...,...,...,40,49,53,55,56,65,69,69,72,73,74,88,97,96,97,96,97,92,93,94,95,95,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,Belize,...,...,...,...,...,...,...,...,...,...,15.10000038,...,...,...,...,...,...,...,...,...,10.56499958,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Bermuda,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,,,,,,,,,,,,,,,,5,5,5,5,5,5,5,5,5,5,5,5,5
70,Bosnia and Herzegovina,...,...,...,...,...,...,...,...,...,...,2.019999981,40,40,38,38,38,38,38,34,34,32,32,30,30,30,30,37,37,,,,,,,,,,,6,,,,,,,,,,,,,,,,,
76,Brazil,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,41.47000122,42.29000092,42.49000168,43.61000061,46.86999893,49.29999924,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,British Virgin Islands,...,17.10000038,...,...,...,...,...,...,...,...,...,24.5,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,Brunei Darussalam,...,...,...,...,...,...,...,...,...,...,...,...,...,...,38,...,...,...,...,...,...,40,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,Bulgaria,...,...,...,...,...,70,...,...,...,...,70,70,70,72,72,72,72,73,74,75,77,82,82,82,82,87,87,87,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
108,Burundi,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,4,4,4.5,4.5,4.5,4.5,4.5,,,,,,,,,,,,,,,,,,,,,,"7,8","7,8","7,8","7,8","7,8",7,7
132,Cabo Verde,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,17.29999924,...,19.5,20.70000076,19.79999924,20.89999962,24.46258354,24.72448349,,,,,,,,,,,,,,,,,,,,,9,,9,9,9,9,9,9
