CountryID,Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,"Footnotes
1990","Footnotes
1991","Footnotes
1992","Footnotes
1993","Footnotes
1994","Footnotes
1995","Footnotes
1996","Footnotes
1997","Footnotes
1998","Footnotes
1999","Footnotes
2000","Footnotes
2001","Footnotes
2002","Footnotes
2003","Footnotes
2004","Footnotes
2005","Footnotes
2006","Footnotes
2007","Footnotes
2008","Footnotes
2009","Footnotes
2010","Footnotes
2011","Footnotes
2012","Footnotes
2013","Footnotes
2014","Footnotes
2015","Footnotes
2016","Footnotes
2017"
8,Albania,28385,...,...,...,...,40311,...,...,...,38284,30683,30491,35883,27893,32787,32840,32380,30964,29458,37218,51134,20569,43050,30615,37172,32711,38810,32224,,,,,,,,,,,,,,,,,,,1,1,,,2,2,2,2,2,2
12,Algeria,275681.3125,...,...,...,...,376971.5,194723.2969,217926,198905.2031,213387.9063,157558.5,166646.5,300693.3125,395470.6875,241837.2031,308914,332134.3125,282453.4063,544728.625,313696.5,373310.0938,291255.5,285533.0938,276258.9063,237403,238029.5,181922.0938,330957.4063,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Andorra,471.7792969,...,...,...,...,424.8518982,625.1678467,444.7502136,361.2449341,480.9143677,489.5657959,427.2323914,518.2606812,470.8120422,359.9552612,360.815033,353.0133057,306.4562378,466.674469,464.0131226,423.6300049,355.0338745,352.9525146,482.6208496,551.6988525,474.7380066,...,...,,,,,,,,,,,,,,,,,3,3,3,3,3,3,3,4,4,4,,
660,Anguilla,93.09999847,...,...,...,...,100.7300034,...,...,...,...,68.19000244,70.73000336,68.19000244,108.7699966,84.25,124.4000015,99.55000305,86.29000092,96.88999939,71.08000183,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Antigua and Barbuda,300.2999878,264.3999939,475.7999878,322.5,283.7999878,374.5,323.2999878,279.2000122,384.5,426.7999878,249.6000061,238,268.6000061,253.8999939,426.8999939,371,332.7999878,293.6000061,392.5,276.8999939,463.8999939,450.2000122,279.7000122,328.2000122,257.5,161.1000061,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Armenia,15794,...,...,...,...,15407,16777,18595,13559,14393,11264,12516,17761,18595,15287,18714,16658,19221,13378,17713,19447,19579,15997,16310,16493,18506,19012,14335,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Austria,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,99493,85243,96576,88872,83256,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Azerbaijan,41998,...,...,...,...,36294.60156,30764,36381,...,37850,38368.5,32707.90039,46787.39844,50728.60156,47534.69922,35252.30078,40009,43126.80078,38372.5,44564,43282,52462,39654,39611,33575,40927,43967,34085,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Bahrain,31.20000076,...,...,...,...,...,...,...,...,...,...,...,...,...,42.40000153,55.79999924,157.1000061,35.5,12,56.40000153,15.39999962,75.90000153,24.60000038,59.90000153,41,50.59999847,48.29999924,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Bangladesh,382354,...,...,...,...,...,...,...,...,...,...,...,...,...,399177,369663,313734,404932,352987,328786,317128,367449,338821,338526,303847,410245,...,...,5,,,,,,,,,,,,,,5,5,5,5,5,5,5,5,5,5,5,5,,
