CountryID,Country,latest year available,Net freshwater supplied by water supply industry (mio m3),Footnotes,Net freshwater supplied by water supply industry per capita (m3),Footnotes,latest year available,Total population supplied by water supply industry (%),Footnotes,Net freshwater supplied by water supply industry per capita connected (m3)
8,Albania,2015,920.00,,…,,2017,78.00,,…
12,Algeria,2015,3548.00,,89.31,,2015,98.00,,91.13
20,Andorra,2015,6.01,,77.06,,2015,100.00,,77.06
24,Angola,…,…,,…,,2011,15.30,,…
28,Antigua and Barbuda,2015,3.64,,…,,2011,82.00,,…
51,Armenia,2017,121.20,,…,,2016,97.90,,…
36,Australia,2017,3450.00,,…,,…,…,,…
40,Austria,2010,587.00,,…,,2016,92.00,,…
31,Azerbaijan,2017,255.60,1,25.96,,2017,50.90,,51.01
48,Bahrain,2015,260.50,,189.89,,2015,99.30,,191.23
50,Bangladesh,2015,776.32,2,…,,…,…,,…
112,Belarus,2015,611.00,,…,,…,…,,…
56,Belgium,2014,579.35,,…,,2009,100.00,,…
84,Belize,2012,7.65,,22.62,,2012,57.55,,39.31
204,Benin,2009,28.00,,…,,…,…,,…
60,Bermuda,2017,2.63,,41.72,,2017,19.00,,219.58
68,Bolivia (Plurinational State of),2016,224.68,3,…,,2017,85.67,4,…
70,Bosnia and Herzegovina,2015,158.30,,…,,2017,68.00,,…
72,Botswana,2016,72.10,,…,,2006,96.00,,…
76,Brazil,2016,9890.36,,47.97,,2016,83.30,5,57.59
92,British Virgin Islands,…,…,,…,,2001,48.40,,…
100,Bulgaria,2015,380.86,,…,,2017,99.00,6,…
108,Burundi,2017,26.53,,…,,…,…,,…
132,Cabo Verde,…,…,,…,,2017,84.50,7,…
120,Cameroon,2009,85.44,,…,,2007,43.90,,…
124,Canada,2015,5021.00,,…,,…,…,,…
136,Cayman Islands,2015,3.87,,…,,…,…,,…
140,Central African Republic,…,…,,…,,2009,30.00,,…
152,Chile,2011,1064.39,,…,,…,…,,…
344,"China, Hong Kong Special Administrative Region",2015,973.00,,135.40,,2015,99.99,,135.42
446,"China, Macao Special Administrative Region",2015,84.94,,141.07,,2015,100.00,,141.07
170,Colombia,2016,3128.59,,…,,…,…,,…
188,Costa Rica,2017,289.36,,58.46,,2017,95.21,,61.40
191,Croatia,2009,271.30,8,…,,2011,86.00,,…
