CountryID,Country and area,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Footnote
4,Afghanistan,67.73,67.98,67.99,68.35,68.70,69.04,70.37,72.39,74.44,73.72,75.00,72.79,79.09,70.25,70.89,74.06,70.76,72.00,68.65,87.18,85.99,82.49,85.91,78.67,85.32,86.07,86.15,84.70,
8,Albania,87.61,95.07,95.89,95.12,96.62,95.24,96.63,96.99,97.10,97.91,96.96,96.29,97.04,98.46,98.63,98.59,98.32,97.56,98.14,99.98,99.99,98.60,100.00,100.00,100.00,100.00,100.00,100.00,
12,Algeria,0.84,1.69,1.09,1.82,0.83,0.98,0.63,0.35,0.42,0.41,0.21,0.26,0.21,0.90,0.80,1.69,0.62,0.61,0.70,0.79,0.38,0.98,1.08,0.55,0.40,0.32,0.25,0.84,
20,Andorra,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,98.94,98.82,94.59,75.00,79.75,76.54,88.50,86.81,86.36,88.70,88.98,86.87,84.85,83.96,
24,Angola,86.21,82.66,88.70,93.68,93.72,93.75,89.98,76.35,80.42,66.97,63.11,62.09,64.76,62.21,78.13,84.31,80.61,77.62,75.41,65.34,67.96,70.91,60.80,58.02,53.18,53.18,56.12,71.40,
660,Anguilla,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.96,0.00,
28,Antigua and Barbuda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.60,0.60,0.59,2.02,2.55,2.55,
32,Argentina,35.62,30.40,34.78,39.05,42.12,40.23,32.90,38.62,35.76,26.74,32.37,41.07,42.28,36.63,30.52,32.08,33.18,28.57,25.25,28.06,27.03,24.58,22.26,24.06,30.29,28.94,26.37,29.03,
51,Armenia,...,...,33.80,68.19,62.11,34.51,25.31,23.08,24.83,20.99,21.16,16.85,30.04,36.03,33.40,28.07,30.72,31.47,29.42,35.68,39.49,33.57,28.81,28.24,25.75,28.34,32.17,29.28,
533,Aruba,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.38,12.14,14.86,14.87,15.05,14.81,14.57,14.11,
36,Australia,9.60,10.27,9.88,10.37,9.95,9.39,8.87,9.23,8.07,8.15,8.00,7.65,7.24,7.81,7.49,7.25,7.66,7.09,6.28,6.39,7.52,9.57,9.32,11.91,13.21,11.91,13.15,14.32,1
40,Austria,64.63,63.60,70.52,72.03,69.13,67.79,64.74,65.51,67.19,68.55,70.70,67.20,67.51,59.33,62.25,61.04,61.91,63.42,63.91,66.13,61.48,60.63,69.57,72.57,75.61,71.04,72.15,70.25,
