CountryID,Country,"Forest Area, 1990 (1000 ha)","Forest Area, 2000 (1000 ha)","Forest Area, 2010 (1000 ha)","Forest Area, 2015 (1000 ha)","Forest Area, 2020 (1000 ha)"
4,Afghanistan,1208.44,1208.44,1208.44,1208.44,1208.44
8,Albania,788.8,769.3,782.07,789.19,788.9
12,Algeria,1667.0,1579.0,1918.0,1956.0,1949.0
16,American Samoa,18.07,17.73,17.43,17.28,17.13
20,Andorra,16.0,16.0,16.0,16.0,16.0
24,Angola,79262.78,77708.61,72158.0,69382.69,66607.38
660,Anguilla,5.5,5.5,5.5,5.5,5.5
28,Antigua and Barbuda,10.11,9.45,8.78,8.45,8.12
32,Argentina,35204.0,33378.0,30214.0,29097.0,28573.0
51,Armenia,334.73,332.64,330.56,329.52,328.47
533,Aruba,0.42,0.42,0.42,0.42,0.42
36,Australia,133882.2,131814.1,129546.1,133094.5,134005.1
40,Austria,3775.67,3838.14,3863.2,3881.19,3899.15
31,Azerbaijan,944.74,987.22,1032.49,1077.89,1131.77
44,Bahamas,509.86,509.86,509.86,509.86,509.86
48,Bahrain,0.22,0.37,0.52,0.6,0.7
50,Bangladesh,1920.33,1920.33,1888.34,1883.4,1883.4
52,Barbados,6.3,6.3,6.3,6.3,6.3
112,Belarus,7780.0,8273.0,8630.0,8633.5,8767.6
56,Belgium,677.4,667.3,689.87,689.3,689.3
84,Belize,1600.03,1459.3,1391.39,1332.83,1277.05
204,Benin,4835.15,4135.15,3635.15,3385.15,3135.15
60,Bermuda,1.0,1.0,1.0,1.0,1.0
64,Bhutan,2506.72,2606.0,2705.29,2715.18,2725.08
68,Bolivia (Plurinational State of),57804.72,55101.39,53086.01,52027.22,50833.76
535,"Bonaire, Sint Eustatius and Saba",1.91,1.91,1.91,1.91,1.91
70,Bosnia and Herzegovina,2210.0,2111.65,2102.66,2160.5,2187.91
72,Botswana,18803.7,17620.7,16437.7,15846.2,15254.7
76,Brazil,588898.0,551088.6,511580.7,503884.8,496619.6
92,British Virgin Islands,3.71,3.67,3.64,3.62,3.62
96,Brunei Darussalam,413.0,397.0,380.0,380.0,380.0
100,Bulgaria,3327.0,3375.0,3737.0,3833.0,3893.0
854,Burkina Faso,7716.6,7216.5,6716.5,6466.4,6216.4
108,Burundi,276.48,193.94,193.94,279.64,279.64
132,Cabo Verde,15.38,39.72,42.72,44.22,45.72
116,Cambodia,11004.79,10781.0,10589.23,8846.82,8068.37
120,Cameroon,22500.0,21597.49,20900.48,20620.48,20340.48
124,Canada,348272.93,347801.97,347322.21,347115.71,346928.1
136,Cayman Islands,13.13,12.93,12.72,12.72,12.72
140,Central African Republic,23203.0,22903.0,22603.0,22453.0,22303.0
148,Chad,6730.0,6353.0,5530.0,4890.0,4313.0
152,Chile,15246.05,15817.06,16725.26,17596.08,18210.7
156,China,157140.59,177000.55,200610.38,210294.25,219978.18
170,Colombia,64958.14,62735.5,60807.79,60134.66,59141.91
174,Comoros,46.06,41.68,37.3,35.11,32.92
178,Congo,22315.0,22195.0,22075.0,22015.0,21946.0
184,Cook Islands,14.91,15.57,15.59,15.59,15.59
188,Costa Rica,2907.4,2857.22,2871.2,2953.03,3034.87
384,Côte d’Ivoire,7850.86,5094.45,3965.58,3401.15,2836.71
191,Croatia,1850.0,1885.0,1920.0,1922.0,1939.11
192,Cuba,2058.0,2435.0,2932.0,3184.0,3242.0
531,Curaçao,0.07,0.07,0.07,0.07,0.07
196,Cyprus,161.11,171.61,172.84,172.71,172.53
203,Czechia,2629.42,2637.29,2657.38,2668.39,2677.09
