CountryID,Country,Year,Disasters
4,Afghanistan,Occurrence 1990-1999,17.0
4,Afghanistan,Occurrence 2000-2009,45.0
4,Afghanistan,Occurrence 2010-2019,46.0
8,Albania,Occurrence 1990-1999,4.0
8,Albania,Occurrence 2000-2009,4.0
8,Albania,Occurrence 2010-2019,7.0
12,Algeria,Occurrence 1990-1999,8.0
12,Algeria,Occurrence 2000-2009,25.0
12,Algeria,Occurrence 2010-2019,6.0
32,Argentina,Occurrence 1990-1999,10.0
32,Argentina,Occurrence 2000-2009,20.0
32,Argentina,Occurrence 2010-2019,20.0
51,Armenia,Occurrence 1990-1999,2.0
51,Armenia,Occurrence 2000-2009,1.0
51,Armenia,Occurrence 2010-2019,1.0
36,Australia,Occurrence 1990-1999,14.0
36,Australia,Occurrence 2000-2009,21.0
36,Australia,Occurrence 2010-2019,12.0
40,Austria,Occurrence 1990-1999,6.0
40,Austria,Occurrence 2000-2009,7.0
40,Austria,Occurrence 2010-2019,2.0
31,Azerbaijan,Occurrence 1990-1999,4.0
31,Azerbaijan,Occurrence 2000-2009,3.0
31,Azerbaijan,Occurrence 2010-2019,1.0
50,Bangladesh,Occurrence 1990-1999,28.0
50,Bangladesh,Occurrence 2000-2009,23.0
50,Bangladesh,Occurrence 2010-2019,20.0
56,Belgium,Occurrence 1990-1999,4.0
56,Belgium,Occurrence 2000-2009,6.0
56,Belgium,Occurrence 2010-2019,3.0
84,Belize,Occurrence 1990-1999,2.0
84,Belize,Occurrence 2000-2009,1.0
84,Belize,Occurrence 2010-2019,1.0
204,Benin,Occurrence 1990-1999,7.0
204,Benin,Occurrence 2000-2009,4.0
204,Benin,Occurrence 2010-2019,4.0
68,Bolivia (Plurinational State of),Occurrence 1990-1999,9.0
68,Bolivia (Plurinational State of),Occurrence 2000-2009,13.0
68,Bolivia (Plurinational State of),Occurrence 2010-2019,17.0
72,Botswana,Occurrence 1990-1999,1.0
72,Botswana,Occurrence 2000-2009,4.0
72,Botswana,Occurrence 2010-2019,4.0
76,Brazil,Occurrence 1990-1999,28.0
76,Brazil,Occurrence 2000-2009,39.0
76,Brazil,Occurrence 2010-2019,40.0
100,Bulgaria,Occurrence 1990-1999,1.0
100,Bulgaria,Occurrence 2000-2009,11.0
100,Bulgaria,Occurrence 2010-2019,8.0
854,Burkina Faso,Occurrence 1990-1999,2.0
854,Burkina Faso,Occurrence 2000-2009,8.0
